opponent,v3,Alex Riberas,0,1771614189918
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 19:03:09,Silverstone Grand Prix Circuit - ELMS,Aston Martin THOR Team 2025 #009:LM (Hyper),Live,103.750,0,0,0
Tracklen [m],TotalLaps
5869.1,12
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
93.8,72.80,93.4,0.0,0.1,6,100.413,1.120,856.277
93.8,72.94,93.4,0.0,0.1,6,104.759,1.151,856.746
108.4,73.03,93.4,0.0,0.2,6,107.662,1.172,857.059
108.4,73.18,93.4,0.0,0.5,6,112.022,1.203,857.529
108.4,73.27,93.4,0.0,0.5,6,114.934,1.225,857.841
108.4,73.41,93.4,0.0,0.3,6,119.309,1.257,858.309
123.0,73.50,93.5,0.0,0.2,6,122.231,1.275,858.618
123.0,73.64,93.5,0.0,0.1,6,126.621,1.299,859.080
123.0,73.74,93.5,0.0,0.2,6,129.553,1.314,859.386
123.0,73.88,93.5,0.0,0.2,6,133.957,1.338,859.843
137.8,74.00,93.5,0.0,0.2,6,138.369,1.368,860.297
137.8,74.09,93.5,0.0,0.2,6,141.315,1.391,860.599
137.8,74.24,93.5,0.0,0.3,6,145.742,1.420,861.049
137.8,74.33,93.5,0.0,0.3,6,148.697,1.438,861.348
152.6,74.45,93.5,0.0,0.4,6,153.138,1.466,861.795
152.6,74.55,93.5,0.0,0.3,6,156.103,1.483,862.091
152.6,74.68,93.5,0.0,0.2,6,160.557,1.507,862.534
152.6,74.76,93.5,0.0,0.3,6,163.531,1.525,862.828
167.5,74.89,93.5,0.0,0.2,6,167.998,1.554,863.268
167.5,74.97,93.5,0.0,0.0,6,170.981,1.574,863.560
167.5,75.10,93.6,0.0,-0.1,6,175.462,1.605,863.996
167.5,75.18,93.6,0.0,-0.2,6,178.454,1.624,864.286
182.5,75.32,93.6,0.0,-0.2,6,182.948,1.653,864.722
182.5,75.41,93.6,0.0,-0.2,6,185.948,1.671,865.013
182.5,75.53,93.6,0.0,-0.4,6,190.454,1.698,865.453
