opponent,v3,Kacper Marianski,0,1771610985033
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:09:45,Silverstone Grand Prix Circuit - ELMS,499P Custom Team 2025 #397 (Hyper),Live,103.997,0,0,0
Tracklen [m],TotalLaps
5973.6,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
10.5,70.55,58.9,0.0,1.6,5,-25.084,0.099,844.942
10.5,71.07,59.3,0.0,1.4,5,-22.274,0.126,845.274
10.5,70.88,58.8,0.0,1.8,5,-18.041,0.150,845.758
25.1,71.58,59.3,0.0,2.0,5,-15.216,0.171,846.072
25.1,70.94,0.0,0.0,2.0,0,-10.956,0.199,846.524
25.1,71.40,88.8,0.0,2.0,6,-8.121,0.212,846.810
25.1,71.44,86.9,0.0,1.4,6,-3.866,0.249,847.215
39.7,71.36,85.0,0.0,1.0,6,0.408,0.265,847.609
39.7,71.86,83.7,0.0,1.0,6,3.259,0.282,847.868
39.7,71.81,81.8,0.0,1.0,6,7.560,0.311,848.252
39.7,72.09,80.5,0.0,1.0,6,10.426,0.324,848.505
54.4,71.92,78.7,0.0,1.0,6,14.728,0.351,848.873
54.4,72.41,77.4,0.0,0.8,6,17.605,0.377,849.116
54.4,72.38,75.5,0.0,0.6,6,21.925,0.409,849.483
54.4,72.60,74.2,0.0,0.6,6,24.816,0.433,849.728
69.3,72.63,72.3,0.0,0.4,6,29.154,0.473,850.089
69.3,72.69,71.1,0.0,0.2,6,32.051,0.490,850.331
69.3,72.88,69.2,0.0,-0.2,6,36.402,0.530,850.694
69.3,73.01,67.9,0.0,-0.2,6,39.309,0.560,850.938
84.2,73.14,66.0,0.0,-0.2,6,43.680,0.603,851.308
84.2,73.26,64.2,0.0,-0.2,6,48.053,0.648,851.676
84.2,73.39,62.9,0.0,-0.2,6,50.975,0.672,851.924
99.2,73.49,61.0,0.0,-0.4,6,55.363,0.717,852.296
99.2,73.65,59.8,0.0,-0.4,6,58.298,0.746,852.549
99.2,73.76,58.5,0.0,-0.6,6,62.707,0.788,852.932
99.2,73.85,58.6,0.0,-0.6,6,65.649,0.813,853.193
114.3,74.02,58.7,0.0,-0.6,6,70.065,0.855,853.590
114.3,74.09,58.7,0.0,-0.6,6,73.012,0.885,853.859
114.3,74.23,58.7,0.0,-0.6,6,77.443,0.927,854.268
114.3,74.32,58.6,0.0,-0.8,6,80.402,0.957,854.543
129.4,74.43,58.7,0.0,-1.0,6,84.844,0.993,854.962
129.4,74.54,58.8,0.0,-1.0,6,87.808,1.017,855.248
