opponent,v3,Jonas Sander,0,1771610994216
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:09:54,Silverstone Grand Prix Circuit - ELMS,AF Corse 2025 #83:LM (Hyper),Live,105.775,0,0,0
Tracklen [m],TotalLaps
5973.6,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
7.6,30.50,11.8,0.0,29.9,2,302.133,3.243,134.829
7.6,30.34,3.2,0.0,30.1,2,303.313,3.263,133.440
7.6,30.24,3.2,0.0,30.1,2,304.068,3.276,132.495
22.1,30.09,1.6,0.0,29.7,2,305.152,3.293,131.048
22.1,29.98,1.6,0.0,29.5,2,305.844,3.308,130.065
22.1,29.88,7.9,0.0,28.8,2,306.833,3.321,128.569
22.1,29.84,15.8,0.0,28.0,2,307.460,3.328,127.555
36.8,29.84,24.0,0.0,26.8,2,308.356,3.334,126.006
36.8,29.91,30.3,0.0,26.0,2,308.923,3.341,124.956
36.8,29.99,34.5,0.0,24.9,2,309.730,3.347,123.351
36.8,30.08,35.8,0.0,23.9,2,310.242,3.346,122.265
51.6,30.19,38.6,0.0,22.5,2,310.964,3.353,120.610
51.6,30.36,62.6,0.0,21.5,2,311.418,3.353,119.487
51.6,30.67,41.1,0.0,20.7,2,312.062,3.363,117.773
66.5,30.98,63.5,0.0,20.4,2,312.660,3.365,116.028
66.5,31.09,63.5,0.0,20.2,2,313.029,3.372,114.844
66.5,31.56,63.2,0.0,20.2,2,313.553,3.371,113.040
66.5,31.72,63.0,0.0,20.2,2,313.879,3.379,111.818
81.4,32.05,60.0,0.0,19.8,2,314.323,3.387,109.961
81.4,32.15,35.1,0.0,19.4,2,314.721,3.387,108.078
81.4,32.17,28.2,0.0,19.0,2,314.954,3.397,106.817
81.4,32.04,6.3,0.0,17.4,2,315.255,3.404,104.914
96.4,31.95,3.2,0.0,16.2,2,315.425,3.405,103.646
96.4,31.83,0.0,1.6,14.1,2,315.630,3.416,101.745
96.4,31.69,0.0,4.8,12.7,2,315.738,3.425,100.481
96.4,31.45,0.0,7.9,10.8,1,315.860,3.442,98.593
111.5,31.21,0.0,11.1,9.8,1,315.920,3.450,97.345
111.5,30.82,0.0,19.0,8.0,1,315.980,3.466,95.486
111.5,30.44,0.0,19.0,6.7,1,316.012,3.483,93.652
111.5,30.22,0.0,19.0,5.7,1,316.019,3.499,92.441
126.6,29.81,0.0,20.6,3.5,1,316.020,3.524,90.641
126.6,29.53,0.0,22.2,1.8,1,316.017,3.532,89.454
126.6,29.03,0.0,23.8,-1.4,1,316.012,3.558,87.699
126.6,28.75,0.0,25.4,-3.5,1,316.012,3.575,86.543
157.4,26.91,0.0,3.2,-16.0,1,316.386,3.736,77.687
157.4,26.86,0.0,0.0,-16.8,1,316.501,3.750,76.617
157.4,26.70,0.0,0.0,-17.4,1,316.703,3.772,75.022
172.8,26.61,0.0,0.0,-18.0,1,316.859,3.795,73.966
172.8,26.49,0.0,0.0,-19.0,1,317.128,3.817,72.395
172.8,26.43,0.0,0.0,-19.8,1,317.333,3.831,71.355
172.8,26.28,0.0,0.0,-20.7,1,317.676,3.845,69.808
188.2,26.16,0.0,0.0,-22.3,1,318.062,3.861,68.283
