opponent,v3,Dries Vanthoor,0,1771614275546
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 19:04:35,Silverstone Grand Prix Circuit - ELMS,BMW M Team WRT 2025 #15:LM (Hyper),Live,105.837,0,0,0
Tracklen [m],TotalLaps
5869.1,12
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
75.0,71.78,91.2,0.0,0.2,5,77.211,0.978,854.381
75.0,71.91,91.3,0.0,0.3,5,81.497,1.015,854.832
75.0,71.93,0.0,0.0,0.2,0,84.359,1.037,855.130
89.4,71.90,90.4,0.0,-0.3,6,88.649,1.070,855.574
89.4,71.99,90.5,0.0,0.3,6,91.511,1.094,855.869
89.4,72.13,90.5,0.0,0.1,6,95.812,1.128,856.310
89.4,72.22,90.6,0.0,-0.2,6,98.684,1.149,856.605
103.8,72.36,90.6,0.0,-0.0,6,102.998,1.180,857.046
103.8,72.46,90.6,0.0,0.0,6,105.880,1.200,857.340
103.8,72.58,90.7,0.0,0.3,6,110.208,1.230,857.782
103.8,72.67,90.7,0.0,0.3,6,113.098,1.251,858.077
118.3,72.81,90.8,0.0,0.3,6,117.440,1.284,858.520
118.3,72.95,90.8,0.0,0.2,6,121.790,1.315,858.961
118.3,73.05,90.8,0.0,-0.1,6,124.695,1.331,859.253
118.3,73.17,90.9,0.0,-0.1,6,129.059,1.353,859.689
132.8,73.26,90.9,0.0,0.1,6,131.973,1.368,859.979
132.8,73.39,90.9,0.0,0.5,6,136.351,1.393,860.415
132.8,73.46,91.0,0.0,0.2,6,139.273,1.416,860.704
132.8,73.60,91.0,0.0,0.0,6,143.664,1.450,861.138
147.6,73.69,91.0,0.0,0.0,6,146.595,1.468,861.426
147.6,73.82,91.1,0.0,0.4,6,150.999,1.495,861.857
147.6,73.90,91.1,0.0,0.2,6,153.940,1.513,862.143
147.6,74.03,91.1,0.0,0.2,6,158.357,1.537,862.572
162.3,74.12,91.2,0.0,0.2,6,161.306,1.553,862.857
162.3,74.24,91.2,0.0,0.1,6,165.736,1.581,863.285
162.3,74.32,91.2,0.0,0.0,6,168.693,1.601,863.569
162.3,74.45,91.3,0.0,-0.0,6,173.135,1.631,863.995
177.2,74.53,91.3,0.0,-0.0,6,176.101,1.651,864.279
