opponent,v3,Felipe Nasr,0,1771576025843
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 08:27:05,Silverstone Grand Prix Circuit - ELMS,Porsche Penske Motorsport 2025 #4:LM (Hyper),Live,105.892,0,0,0
Tracklen [m],TotalLaps
5866.5,2
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
6.7,72.08,85.2,0.0,0.2,6,17.982,0.423,847.406
21.1,72.24,85.2,0.0,0.2,6,22.283,0.456,847.907
21.1,72.34,85.2,0.0,0.2,6,25.155,0.477,848.240
21.1,72.48,85.3,0.0,0.2,6,29.470,0.512,848.741
21.1,72.63,85.3,0.0,0.2,6,33.794,0.550,849.240
35.6,72.73,85.3,0.0,0.2,6,36.682,0.575,849.572
35.6,72.88,85.3,0.0,0.2,6,41.022,0.611,850.067
35.6,72.97,85.3,0.0,0.2,6,43.920,0.636,850.397
35.6,73.11,85.3,0.0,0.2,6,48.274,0.677,850.888
50.2,73.21,85.4,0.0,0.1,6,51.182,0.705,851.214
50.2,73.35,85.4,0.0,0.1,6,55.551,0.746,851.700
50.2,73.44,85.4,0.0,0.1,6,58.469,0.772,852.023
50.2,73.58,85.4,0.0,0.1,6,62.852,0.811,852.505
64.9,73.67,85.4,0.0,0.2,6,65.780,0.838,852.826
64.9,73.81,85.5,0.0,0.2,6,70.177,0.882,853.306
64.9,73.90,85.5,0.0,0.1,6,73.114,0.911,853.625
64.9,74.04,85.4,0.0,-0.0,6,77.526,0.950,854.102
79.6,74.13,85.5,0.0,-0.1,6,80.472,0.975,854.419
79.6,74.26,85.5,0.0,-0.1,6,84.898,1.010,854.895
79.6,74.40,85.5,0.0,-0.1,6,89.332,1.044,855.369
79.6,74.48,85.5,0.0,0.0,6,92.292,1.069,855.686
94.5,74.62,85.5,0.0,0.1,6,96.739,1.103,856.162
94.5,74.71,85.6,0.0,0.1,6,99.709,1.124,856.480
94.5,74.83,85.6,0.0,0.5,6,104.169,1.156,856.956
94.5,74.92,85.6,0.0,0.4,6,107.147,1.177,857.274
109.4,75.05,85.6,0.0,0.3,6,111.620,1.208,857.747
109.4,75.13,85.6,0.0,0.2,6,114.607,1.230,858.061
109.4,75.26,85.7,0.0,0.1,6,119.094,1.264,858.528
109.4,75.34,85.7,0.0,0.0,6,122.090,1.284,858.838
124.4,75.47,85.7,0.0,0.4,6,126.590,1.309,859.301
124.4,75.56,85.7,0.0,0.3,6,129.595,1.323,859.607
124.4,75.68,85.7,0.0,0.2,6,134.109,1.347,860.065
124.4,75.76,85.7,0.0,0.1,6,137.122,1.365,860.369
139.6,75.88,85.8,0.0,0.2,6,141.648,1.402,860.822
