opponent,v3,Alessandro Pier Guidi,0,1771613346543
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:49:06,Silverstone Grand Prix Circuit - ELMS,Ferrari AF Corse 2025 #51:LM (Hyper),Live,106.072,0,0,0
Tracklen [m],TotalLaps
5869.1,5
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
91.8,74.62,60.2,0.0,0.0,6,91.153,1.042,855.392
91.8,74.76,60.2,0.0,0.0,6,95.609,1.077,855.868
91.8,74.84,60.2,0.0,0.0,6,98.584,1.098,856.185
91.8,74.97,60.2,0.0,0.1,6,103.053,1.130,856.661
106.8,75.05,60.2,0.0,0.2,6,106.036,1.151,856.979
106.8,75.18,60.2,0.0,0.5,6,110.517,1.183,857.455
106.8,75.26,60.2,0.0,0.5,6,113.509,1.205,857.772
106.8,75.38,60.3,0.0,0.4,6,118.003,1.239,858.247
121.8,75.51,60.3,0.0,0.4,6,122.505,1.269,858.719
121.8,75.60,60.3,0.0,0.3,6,125.511,1.285,859.031
121.8,75.72,60.3,0.0,0.3,6,130.026,1.308,859.497
121.8,75.79,60.3,0.0,0.4,6,133.041,1.324,859.806
137.0,75.91,60.3,0.0,0.3,6,137.568,1.351,860.266
137.0,75.98,60.3,0.0,0.3,6,140.590,1.376,860.572
137.0,76.11,60.3,0.0,0.3,6,145.129,1.408,861.027
137.0,76.19,60.3,0.0,0.3,6,148.160,1.427,861.330
152.2,76.30,60.3,0.0,0.4,6,152.712,1.455,861.781
152.2,76.38,60.3,0.0,0.6,6,155.751,1.473,862.081
152.2,76.50,60.3,0.0,0.5,6,160.315,1.497,862.528
152.2,76.57,60.3,0.0,0.3,6,163.362,1.515,862.826
167.4,76.69,60.3,0.0,0.0,6,167.938,1.545,863.269
167.4,76.76,60.3,0.0,-0.0,6,170.992,1.566,863.563
167.4,76.87,60.3,0.0,-0.0,6,175.580,1.597,864.002
167.4,76.99,60.3,0.0,-0.1,6,180.175,1.627,864.439
182.8,77.06,60.3,0.0,-0.2,6,183.242,1.647,864.731
182.8,77.18,60.3,0.0,-0.6,6,187.848,1.675,865.171
182.8,77.23,60.5,0.0,-0.8,6,190.922,1.693,865.466
182.8,77.32,61.5,0.0,-0.9,6,195.536,1.723,865.912
198.2,77.40,60.3,0.0,-0.5,6,198.616,1.742,866.214
198.2,77.51,60.3,0.0,-1.1,6,203.240,1.769,866.674
198.2,77.57,60.3,0.0,-2.3,6,206.326,1.787,866.985
198.2,77.68,60.3,0.0,-1.2,6,210.959,1.810,867.465
213.7,77.74,60.3,0.0,0.0,6,214.049,1.827,867.794
213.7,77.84,60.4,43.5,0.2,6,218.689,1.858,868.300
213.7,77.45,19.9,57.0,-0.4,6,221.778,1.879,868.642
213.7,76.47,0.0,69.6,-0.7,6,226.370,1.911,869.153
229.2,75.28,0.0,79.0,-0.6,6,230.898,1.941,869.661
229.2,74.44,0.0,86.5,-0.1,6,233.875,1.964,869.998
229.2,73.10,0.0,92.1,0.1,6,238.275,1.999,870.501
229.2,72.16,0.0,92.1,0.0,6,241.163,2.020,870.833
244.0,70.78,0.0,92.2,0.5,6,245.426,2.045,871.325
244.0,69.85,0.0,92.3,2.6,6,248.222,2.059,871.648
244.0,68.51,0.0,82.5,7.5,6,252.347,2.080,872.119
244.0,67.68,0.0,82.4,8.2,6,255.056,2.093,872.415
257.9,66.40,0.0,82.4,5.3,6,259.060,2.115,872.821
257.9,65.57,0.0,82.5,2.1,6,261.690,2.129,873.062
257.9,64.30,0.0,82.5,-1.8,6,265.575,2.153,873.377
257.9,63.48,24.7,82.6,-4.5,0,268.125,2.167,873.561
