opponent,v3,Neel Jani,0,1771457128178
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-18 23:25:28,Silverstone Grand Prix Circuit - ELMS,Proton Competition 2025 #99:LM (Hyper),Live,106.226,0,0,0
Tracklen [m],TotalLaps
5868.6,21
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
542.4,63.02,88.9,0.0,2.1,5,454.730,3.733,711.529
542.4,63.17,88.9,0.0,1.3,5,455.134,3.749,709.038
554.9,63.39,89.0,0.0,1.0,5,455.717,3.778,705.287
554.9,63.54,89.1,0.0,1.0,5,456.093,3.799,702.776
554.9,63.78,89.2,0.0,1.1,5,456.642,3.829,698.997
554.9,63.99,89.3,0.0,0.6,5,457.176,3.860,695.202
567.6,64.14,89.3,0.0,0.6,5,457.525,3.883,692.663
567.6,64.36,89.4,0.0,0.6,5,458.039,3.916,688.843
567.6,64.51,89.4,0.0,0.7,5,458.377,3.937,686.288
567.6,64.73,89.5,0.0,0.8,5,458.877,3.970,682.444
580.3,64.88,89.6,0.0,0.8,5,459.206,3.992,679.873
580.3,65.09,89.7,0.0,0.8,5,459.693,4.025,676.005
580.3,65.24,89.7,0.0,0.8,5,460.013,4.047,673.419
580.3,65.45,89.8,0.0,0.8,5,460.485,4.080,669.528
593.3,65.59,89.8,0.0,0.8,5,460.796,4.102,666.926
593.3,65.80,89.9,0.0,0.8,5,461.253,4.135,663.011
593.3,65.94,90.0,0.0,0.8,5,461.553,4.156,660.393
593.3,66.15,90.0,0.0,0.8,5,461.993,4.188,656.456
606.4,66.35,90.1,0.0,0.8,5,462.423,4.223,652.504
606.4,66.49,90.1,0.0,0.9,5,462.703,4.245,649.863
606.4,66.69,90.2,0.0,0.9,5,463.115,4.279,645.890
606.4,66.83,90.3,0.0,0.9,5,463.382,4.301,643.233
619.6,67.03,90.3,0.0,0.9,5,463.773,4.333,639.237
619.6,67.16,90.4,0.0,0.9,5,464.027,4.355,636.566
619.6,67.36,90.5,0.0,0.9,5,464.396,4.388,632.548
619.6,67.49,90.5,0.0,0.9,5,464.636,4.410,629.862
633.1,67.69,90.6,0.0,0.8,5,464.984,4.443,625.822
633.1,67.81,90.6,0.0,0.8,5,465.209,4.464,623.122
