opponent,v3,Sébastien Buemi,0,1771457123663
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-18 23:25:23,Silverstone Grand Prix Circuit - ELMS,Toyota Gazoo Racing 2025 #8:LM (Hyper),Live,106.425,0,0,0
Tracklen [m],TotalLaps
5868.6,22
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
566.8,64.84,60.5,0.0,1.1,5,459.009,3.903,687.173
566.8,64.98,60.6,0.0,1.0,5,459.369,3.924,684.603
579.6,65.19,60.6,0.0,1.0,5,459.898,3.956,680.734
579.6,65.33,60.6,0.0,1.0,5,460.243,3.977,678.147
579.6,65.55,60.7,0.0,1.1,5,460.749,4.009,674.254
579.6,65.75,60.7,0.0,1.2,5,461.244,4.041,670.346
592.6,65.89,60.8,0.0,1.1,5,461.567,4.063,667.734
592.6,66.10,60.9,0.0,1.1,5,462.041,4.096,663.803
592.6,66.24,60.9,0.0,1.0,5,462.351,4.117,661.175
592.6,66.44,60.9,0.0,0.8,5,462.804,4.149,657.220
605.8,66.57,61.0,0.0,0.9,5,463.099,4.172,654.577
605.8,66.78,61.0,0.0,1.0,5,463.531,4.207,650.600
605.8,66.91,61.1,0.0,1.0,5,463.813,4.230,647.941
605.8,67.11,61.1,0.0,1.0,5,464.224,4.264,643.942
619.1,67.25,61.1,0.0,1.0,5,464.491,4.285,641.268
619.1,67.44,61.2,0.0,1.0,5,464.880,4.318,637.247
619.1,67.57,61.2,0.0,0.9,5,465.132,4.341,634.559
619.1,67.76,61.2,0.0,0.9,5,465.499,4.375,630.516
632.6,67.96,61.2,0.0,0.9,5,465.852,4.408,626.460
632.6,68.08,61.2,0.0,0.8,5,466.081,4.430,623.749
632.6,68.27,61.3,0.0,0.6,5,466.412,4.461,619.673
632.6,68.40,61.3,0.0,0.6,5,466.625,4.483,616.948
646.2,68.59,61.3,0.0,0.8,5,466.936,4.515,612.850
646.2,68.71,61.3,0.0,0.6,5,467.136,4.537,610.112
646.2,68.89,61.3,0.0,0.6,5,467.429,4.570,605.995
646.2,69.01,61.3,0.0,0.5,5,467.618,4.591,603.244
659.9,69.20,61.3,0.0,0.5,5,467.895,4.623,599.107
659.9,69.32,61.3,0.0,0.5,5,468.074,4.644,596.343
659.9,69.49,61.2,0.0,0.6,5,468.336,4.676,592.188
659.9,69.61,61.2,0.0,0.6,5,468.507,4.696,589.411
673.8,69.78,61.2,0.0,0.6,5,468.756,4.726,585.237
673.8,69.90,61.1,0.0,0.5,5,468.918,4.745,582.448
673.8,70.07,61.0,0.0,0.4,5,469.155,4.771,578.256
673.8,70.18,60.9,0.0,0.3,5,469.308,4.788,575.456
687.8,70.34,60.8,0.0,0.4,5,469.531,4.811,571.247
687.8,70.51,60.6,0.0,0.3,5,469.748,4.831,567.027
687.8,70.61,60.6,0.0,0.3,5,469.888,4.843,564.208
701.9,70.77,60.5,0.0,0.1,5,470.095,4.860,559.972
701.9,70.87,60.4,0.0,0.0,5,470.229,4.871,557.143
701.9,70.85,0.0,0.0,-0.0,0,470.428,4.886,552.894
701.9,70.88,87.1,0.0,-0.0,6,470.559,4.895,550.063
716.1,71.04,77.4,0.0,0.0,6,470.755,4.907,545.810
716.1,71.15,70.9,0.0,-0.0,6,470.885,4.913,542.969
