opponent,v3,Mike Conway,0,1771614137930
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 19:02:17,Silverstone Grand Prix Circuit - ELMS,Toyota Gazoo Racing 2025 #7:LM (Hyper),Live,106.812,0,0,0
Tracklen [m],TotalLaps
5869.1,17
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
147.0,74.32,60.7,0.0,0.1,6,147.594,1.426,860.976
147.0,74.40,60.7,0.0,0.1,6,150.553,1.444,861.272
147.0,74.53,60.7,0.0,0.2,6,154.999,1.471,861.713
147.0,74.62,60.7,0.0,0.2,6,157.968,1.487,862.006
161.9,74.75,60.8,0.0,0.2,6,162.427,1.512,862.444
161.9,74.84,60.8,0.0,0.1,6,165.405,1.531,862.735
161.9,74.97,60.8,0.0,0.0,6,169.878,1.560,863.170
161.9,75.05,60.8,0.0,-0.0,6,172.864,1.580,863.458
176.9,75.18,60.9,0.0,-0.1,6,177.350,1.610,863.890
176.9,75.26,60.9,0.0,-0.2,6,180.345,1.630,864.178
176.9,75.39,60.9,0.0,-0.3,6,184.843,1.658,864.610
176.9,75.48,60.9,0.0,-0.4,6,187.846,1.676,864.899
191.9,75.60,61.0,0.0,-0.4,6,192.357,1.704,865.337
191.9,75.68,61.0,0.0,-0.4,6,195.368,1.723,865.633
191.9,75.80,61.0,0.0,-0.2,6,199.890,1.751,866.082
191.9,75.93,61.0,0.0,-0.2,6,204.418,1.778,866.539
207.1,76.01,61.1,0.0,-0.2,6,207.441,1.795,866.848
207.1,76.13,61.1,0.0,-0.0,6,211.981,1.818,867.316
207.1,76.20,61.1,0.0,0.1,6,215.011,1.836,867.632
207.1,76.32,61.2,0.0,0.3,6,219.561,1.867,868.109
222.3,76.40,61.2,0.0,0.3,6,222.599,1.888,868.428
222.3,76.52,61.2,0.0,0.4,6,227.162,1.920,868.904
222.3,76.61,61.2,0.0,0.5,6,230.208,1.940,869.220
222.3,76.72,61.2,0.0,0.5,6,234.783,1.974,869.689
237.6,76.80,61.2,0.0,0.5,6,237.838,1.996,869.998
237.6,76.73,17.9,32.6,0.6,6,242.424,2.029,870.454
