opponent,v3,Sheldon van der Linde,0,1771614569525
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 19:09:29,Silverstone Grand Prix Circuit - ELMS,BMW M Team WRT 2025 #20:LM (Hyper),Live,106.820,0,0,0
Tracklen [m],TotalLaps
5868.5,2
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
66.6,71.45,91.2,0.0,0.2,5,68.895,0.904,853.178
66.6,71.55,91.2,0.0,0.2,5,71.737,0.932,853.492
66.6,71.70,91.3,0.0,0.3,5,76.009,0.972,853.961
66.6,71.80,91.4,0.0,0.1,0,78.862,0.997,854.273
80.9,71.69,90.4,0.0,-0.1,6,83.141,1.031,854.738
80.9,71.83,90.4,0.0,-0.1,6,87.421,1.064,855.201
80.9,71.93,90.4,0.0,-0.1,6,90.280,1.087,855.510
95.3,72.07,90.5,0.0,0.0,6,94.574,1.121,855.973
95.3,72.17,90.5,0.0,0.1,6,97.442,1.142,856.283
95.3,72.31,90.6,0.0,0.1,6,101.751,1.173,856.747
95.3,72.40,90.6,0.0,0.0,6,104.629,1.193,857.056
109.7,72.55,90.6,0.0,0.3,6,108.952,1.224,857.520
109.7,72.64,90.7,0.0,0.4,6,111.839,1.244,857.830
109.7,72.78,90.7,0.0,0.8,6,116.176,1.276,858.293
109.7,72.87,90.8,0.0,0.9,6,119.073,1.298,858.601
124.3,73.00,90.8,0.0,0.3,6,123.424,1.326,859.058
124.3,73.10,90.8,0.0,0.1,6,126.331,1.341,859.360
124.3,73.24,90.9,0.0,0.2,6,130.698,1.362,859.808
124.3,73.33,90.9,0.0,0.7,6,133.614,1.378,860.106
139.0,73.45,90.9,0.0,0.5,6,137.994,1.407,860.549
139.0,73.58,91.0,0.0,0.2,6,142.383,1.442,860.990
139.0,73.69,91.0,0.0,0.1,6,145.314,1.461,861.283
139.0,73.81,91.1,0.0,0.4,6,149.717,1.488,861.719
153.7,73.90,91.1,0.0,0.2,6,152.657,1.506,862.008
153.7,74.03,91.1,0.0,0.1,6,157.073,1.531,862.440
153.7,74.12,91.1,0.0,0.2,6,160.022,1.547,862.727
153.7,74.24,91.2,0.0,0.2,6,164.452,1.573,863.156
168.5,74.33,91.2,0.0,0.2,6,167.409,1.593,863.442
168.5,74.45,91.3,0.0,0.1,6,171.851,1.623,863.870
168.5,74.54,91.3,0.0,0.1,6,174.817,1.643,864.155
168.5,74.67,91.3,0.0,-0.1,6,179.273,1.674,864.582
183.4,74.75,91.3,0.0,-0.3,6,182.248,1.693,864.867
183.4,74.88,91.4,0.0,-0.1,6,186.716,1.720,865.296
183.4,74.96,91.4,0.0,0.5,6,189.699,1.737,865.582
183.4,75.08,91.4,0.0,-0.6,6,194.179,1.766,866.011
198.3,75.17,91.4,0.0,-1.0,6,197.170,1.784,866.299
198.3,75.29,91.5,0.0,-0.9,6,201.662,1.811,866.734
198.3,75.40,91.6,0.0,-0.4,6,206.161,1.837,867.178
198.3,75.48,91.5,0.0,-0.3,6,209.163,1.852,867.478
213.4,75.60,91.6,0.0,-0.1,6,213.672,1.876,867.937
213.4,75.68,91.6,0.0,0.1,6,216.681,1.895,868.248
213.4,75.80,91.6,0.0,0.2,6,221.201,1.927,868.717
213.4,75.87,91.7,0.0,0.3,6,224.218,1.948,869.031
228.5,75.99,91.7,0.0,0.3,6,228.749,1.980,869.502
228.5,76.07,91.7,0.0,0.5,6,231.774,2.001,869.814
228.5,76.18,91.8,0.0,0.7,6,236.317,2.036,870.277
228.5,76.25,91.8,0.0,0.7,6,239.350,2.059,870.582
243.8,76.37,91.8,0.0,1.0,6,243.906,2.089,871.033
243.8,76.26,25.3,37.1,1.3,6,246.946,2.105,871.329
243.8,75.43,0.0,73.4,1.9,6,251.480,2.127,871.760
243.8,74.64,0.0,84.6,2.0,6,254.471,2.141,872.038
258.9,73.30,0.0,89.3,2.2,6,258.895,2.165,872.435
258.9,71.92,0.0,90.8,2.4,6,263.239,2.189,872.807
258.9,71.01,0.0,92.1,2.9,6,266.090,2.206,873.038
258.9,69.63,0.0,92.3,3.0,6,270.300,2.227,873.357
273.2,68.70,0.0,92.2,2.7,6,273.061,2.240,873.549
273.2,67.32,0.0,91.9,3.1,6,277.136,2.257,873.805
273.2,66.40,0.0,91.8,3.4,0,279.809,2.267,873.953
273.2,65.05,0.0,90.6,3.4,5,283.750,2.282,874.137
286.5,64.16,0.0,86.8,3.8,5,286.334,2.291,874.235
286.5,62.86,0.0,74.1,3.5,5,290.146,2.303,874.341
286.5,62.09,0.0,62.9,3.0,5,292.646,2.312,874.381
286.5,61.17,0.0,34.2,3.3,5,296.343,2.328,874.391
299.0,60.75,0.0,22.5,4.5,5,298.782,2.338,874.365
299.0,60.26,0.0,20.4,6.7,5,302.411,2.354,874.270
299.0,59.95,0.0,16.4,8.4,5,304.814,2.366,874.170
299.0,59.56,0.0,8.9,10.1,5,308.394,2.385,873.968
310.9,59.35,0.0,6.9,10.6,5,310.766,2.400,873.796
310.9,59.06,0.0,4.6,11.9,5,314.306,2.422,873.484
310.9,58.81,1.7,0.1,13.4,5,317.821,2.444,873.105
310.9,58.66,5.8,0.0,13.8,5,320.153,2.458,872.813
322.6,58.46,6.6,0.0,14.9,5,323.631,2.479,872.314
322.6,58.32,5.9,0.0,15.7,5,325.936,2.493,871.939
322.6,58.11,7.6,0.0,17.0,5,329.373,2.512,871.315
322.6,57.98,12.0,0.0,17.7,5,331.649,2.524,870.856
334.1,57.79,16.1,0.0,18.3,5,335.040,2.540,870.103
334.1,57.66,11.9,0.0,18.5,5,337.283,2.551,869.556
334.1,57.45,9.5,0.0,18.6,5,340.621,2.567,868.669
334.1,57.30,5.2,0.0,18.6,5,342.827,2.577,868.034
345.9,57.08,13.6,0.0,18.6,5,346.104,2.591,867.014
345.9,56.95,16.7,0.0,19.2,5,348.267,2.601,866.290
345.9,56.80,27.4,0.0,20.3,5,351.479,2.616,865.138
345.9,56.72,31.8,0.0,20.2,5,353.598,2.627,864.325
357.7,56.58,18.4,0.0,21.5,5,356.745,2.645,863.040
357.7,56.45,9.0,0.1,22.6,5,358.820,2.657,862.140
357.7,56.20,12.9,0.4,23.4,5,361.892,2.675,860.731
369.7,56.14,58.4,0.0,23.6,5,364.918,2.693,859.251
369.7,56.20,73.7,0.0,23.6,5,366.916,2.705,858.224
369.7,56.26,50.4,0.0,23.5,5,369.884,2.722,856.620
369.7,56.26,61.0,0.0,23.7,5,371.842,2.734,855.511
381.4,56.39,84.5,0.0,23.8,5,374.747,2.752,853.786
381.4,56.51,85.8,0.0,23.5,5,376.666,2.764,852.596
381.4,56.68,85.9,0.0,22.4,5,379.515,2.782,850.749
381.4,56.81,85.9,0.0,21.8,5,381.396,2.793,849.478
393.2,56.99,86.1,0.0,21.2,5,384.186,2.809,847.512
393.2,57.11,86.1,0.0,20.7,5,386.025,2.820,846.161
393.2,57.28,86.2,0.0,19.9,5,388.749,2.836,844.075
393.2,57.39,77.3,0.0,18.7,5,390.542,2.847,842.645
405.3,57.44,54.1,0.0,17.9,5,393.191,2.864,840.443
