opponent,v3,Kévin Estre,0,1771612469358
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:34:29,Silverstone Grand Prix Circuit - ELMS,Porsche Penske Motorsport 2025 #6:LM (Hyper),Live,106.887,0,0,0
Tracklen [m],TotalLaps
5869.1,2
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
29.0,71.76,85.2,0.0,0.4,6,28.658,0.497,849.029
29.0,71.90,85.2,0.0,0.3,6,32.940,0.535,849.517
29.0,72.00,85.2,0.0,0.2,6,35.800,0.560,849.842
29.0,72.15,85.2,0.0,0.0,6,40.097,0.597,850.328
43.4,72.25,85.2,0.0,0.1,6,42.966,0.622,850.651
43.4,72.39,85.2,0.0,0.1,6,47.278,0.663,851.134
43.4,72.48,85.3,0.0,0.0,6,50.157,0.691,851.455
43.4,72.62,85.3,0.0,0.3,6,54.484,0.732,851.935
57.9,72.77,85.3,0.0,0.2,6,58.819,0.770,852.413
57.9,72.86,85.3,0.0,0.6,6,61.714,0.796,852.730
57.9,72.99,85.4,0.0,0.9,6,66.063,0.836,853.202
57.9,73.08,85.4,0.0,0.3,6,68.967,0.865,853.514
72.5,73.22,85.4,0.0,1.0,6,73.331,0.909,853.975
72.5,73.31,85.4,0.0,-0.1,6,76.246,0.937,854.277
72.5,73.45,85.4,0.0,-0.4,6,80.625,0.973,854.725
72.5,73.54,85.4,0.0,-0.4,6,83.550,0.997,855.021
87.2,73.67,85.4,0.0,-0.1,6,87.943,1.030,855.465
87.2,73.75,85.4,0.0,0.3,6,90.876,1.054,855.762
87.2,73.89,85.5,0.0,0.4,6,95.282,1.090,856.209
87.2,73.98,85.5,0.0,0.2,6,98.224,1.112,856.507
101.9,74.11,85.5,0.0,-0.5,6,102.644,1.143,856.952
101.9,74.19,85.5,0.0,0.2,6,105.595,1.164,857.250
101.9,74.32,85.5,0.0,0.3,6,110.027,1.195,857.696
101.9,74.44,85.5,0.0,0.1,6,114.468,1.228,858.141
116.8,74.52,85.6,0.0,-0.0,6,117.432,1.250,858.438
116.8,74.66,85.6,0.0,-0.1,6,121.885,1.282,858.883
116.8,74.75,85.6,0.0,0.2,6,124.858,1.299,859.180
116.8,74.87,85.6,0.0,0.2,6,129.324,1.321,859.624
131.6,74.95,85.6,0.0,0.1,6,132.306,1.336,859.920
131.6,75.07,85.6,0.0,0.1,6,136.784,1.362,860.364
131.6,75.14,85.7,0.0,-0.0,6,139.774,1.386,860.660
131.6,75.28,85.7,0.0,0.3,6,144.264,1.420,861.103
146.7,75.36,85.7,0.0,0.3,6,147.263,1.439,861.398
146.7,75.48,85.7,0.0,0.1,6,151.766,1.466,861.839
