opponent,v3,Max Laxague,0,1771610890225
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:08:10,Silverstone Grand Prix Circuit - ELMS,Peugeot TotalEnergies #93:LM (Hyper),Live,106.973,0,0,0
Tracklen [m],TotalLaps
5973.6,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
25.6,73.73,59.0,0.0,0.0,6,30.960,0.491,850.330
25.6,73.40,59.1,0.0,0.2,6,35.327,0.525,850.695
25.6,73.69,59.1,0.0,0.2,6,38.245,0.547,850.945
40.2,73.62,59.1,0.0,-0.2,6,42.641,0.590,851.312
40.2,73.75,59.1,0.0,-0.4,6,47.043,0.638,851.677
40.2,73.75,59.2,0.0,-0.6,6,49.981,0.662,851.921
55.0,73.89,59.2,0.0,-0.8,6,54.390,0.703,852.292
55.0,74.12,59.3,0.0,-1.0,6,57.335,0.730,852.548
55.0,74.15,59.3,0.0,-1.0,6,61.763,0.772,852.940
55.0,74.31,59.3,0.0,-1.0,6,64.718,0.802,853.213
69.8,74.48,59.3,0.0,-1.0,6,69.163,0.848,853.633
69.8,74.47,59.4,0.0,-1.0,6,72.127,0.877,853.921
69.8,74.63,59.5,0.0,-0.8,6,76.576,0.914,854.359
69.8,74.78,59.4,0.0,-0.8,6,79.550,0.940,854.651
84.7,74.93,59.4,0.0,-0.6,6,84.019,0.979,855.091
84.7,74.95,59.4,0.0,-0.4,6,87.003,1.007,855.388
84.7,75.09,59.5,0.0,-0.2,6,91.483,1.042,855.834
84.7,75.25,59.6,0.0,-0.2,6,94.473,1.060,856.131
99.7,75.30,59.6,0.0,-0.2,6,98.968,1.094,856.578
99.7,75.46,59.7,0.0,-0.2,6,101.970,1.114,856.876
99.7,75.63,59.6,0.0,-0.2,6,106.484,1.149,857.324
99.7,75.76,59.7,0.0,0.0,6,111.001,1.188,857.777
114.8,75.82,59.8,0.0,0.2,6,114.016,1.202,858.079
