opponent,v3,Norman Nato,0,1771614025731
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 19:00:25,Silverstone Grand Prix Circuit - ELMS,Cadillac Hertz Team Jota 2025 #12:LM (Hyper),Live,107.014,0,0,0
Tracklen [m],TotalLaps
5869.1,17
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
88.8,72.20,92.1,0.0,0.1,6,92.409,1.110,855.618
88.8,72.31,92.1,0.0,0.1,6,95.282,1.132,855.930
88.8,72.46,92.1,0.0,0.1,6,99.600,1.163,856.398
103.2,72.56,92.2,0.0,0.0,6,102.483,1.183,856.710
103.2,72.71,92.2,0.0,0.2,6,106.815,1.214,857.178
103.2,72.80,92.3,0.0,0.3,6,109.708,1.234,857.490
103.2,72.95,92.3,0.0,0.5,6,114.055,1.266,857.958
117.8,73.04,92.3,0.0,0.5,6,116.958,1.288,858.270
117.8,73.19,92.4,0.0,0.2,6,121.321,1.318,858.736
117.8,73.30,92.4,0.0,0.0,6,124.234,1.335,859.044
117.8,73.44,92.4,0.0,0.1,6,128.611,1.357,859.504
132.4,73.53,92.4,0.0,0.2,6,131.535,1.372,859.808
132.4,73.67,92.5,0.0,0.4,6,135.927,1.398,860.263
132.4,73.75,92.5,0.0,0.5,6,138.860,1.420,860.566
132.4,73.89,92.6,0.0,0.4,6,143.266,1.453,861.017
147.2,74.05,92.6,0.0,0.2,6,147.681,1.480,861.467
147.2,74.14,92.6,0.0,0.4,6,150.630,1.498,861.765
147.2,74.28,92.6,0.0,0.2,6,155.060,1.525,862.209
147.2,74.37,92.7,0.0,0.1,6,158.018,1.541,862.502
162.0,74.50,92.7,0.0,0.1,6,162.462,1.566,862.940
162.0,74.59,92.7,0.0,0.1,6,165.429,1.585,863.231
162.0,74.72,92.8,0.0,-0.0,6,169.887,1.614,863.665
162.0,74.81,92.8,0.0,-0.1,6,172.864,1.635,863.953
176.9,74.96,92.8,0.0,-0.2,6,177.336,1.665,864.385
176.9,75.04,92.8,0.0,-0.2,6,180.322,1.685,864.672
176.9,75.17,92.9,0.0,0.1,6,184.807,1.713,865.104
176.9,75.26,92.9,0.0,-0.2,6,187.801,1.730,865.392
191.9,75.38,92.9,0.0,0.1,6,192.299,1.759,865.826
191.9,75.47,93.0,0.0,-0.7,6,195.302,1.778,866.115
191.9,75.60,93.0,0.0,-0.8,6,199.813,1.805,866.553
191.9,75.69,93.0,0.0,-0.7,6,202.824,1.822,866.847
207.0,75.82,93.1,0.0,-0.3,6,207.346,1.847,867.296
207.0,75.93,93.1,0.0,-0.1,6,211.875,1.871,867.754
207.0,76.01,93.1,0.0,0.1,6,214.898,1.889,868.063
207.0,76.14,93.1,0.0,0.3,6,219.438,1.919,868.534
222.2,76.21,93.2,0.0,0.4,6,222.468,1.940,868.849
222.2,76.34,93.2,0.0,0.8,6,227.020,1.972,869.323
222.2,76.42,93.2,0.0,1.0,6,230.059,1.993,869.639
222.2,76.53,93.3,0.0,1.0,6,234.623,2.028,870.108
237.5,76.61,93.3,0.0,0.9,6,237.669,2.051,870.418
