opponent,v3,Jules Gounon,0,1771576420226
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 08:33:40,Silverstone Grand Prix Circuit - ELMS,Alpine Endurance Team 2025 #36:LM (Hyper),Live,107.157,0,0,0
Tracklen [m],TotalLaps
5869.0,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
4.7,72.62,92.2,0.0,-0.2,6,10.275,0.386,846.311
4.7,72.77,92.3,0.0,0.1,6,14.608,0.416,846.814
4.7,72.87,92.3,0.0,0.2,6,17.500,0.439,847.151
19.2,73.03,92.4,0.0,0.2,6,21.847,0.472,847.656
19.2,73.12,92.4,0.0,0.2,6,24.750,0.494,847.993
19.2,73.27,92.4,0.0,0.4,6,29.112,0.529,848.499
33.8,73.41,92.5,0.0,0.4,6,33.483,0.568,849.004
33.8,73.57,92.5,0.0,0.4,6,37.864,0.605,849.507
33.8,73.67,92.6,0.0,0.3,6,40.789,0.629,849.841
33.8,73.81,92.6,0.0,0.3,6,45.185,0.668,850.339
48.6,73.91,92.6,0.0,0.3,6,48.120,0.695,850.670
48.6,74.05,92.7,0.0,0.3,6,52.531,0.737,851.164
48.6,74.14,92.7,0.0,0.3,6,55.476,0.764,851.492
48.6,74.28,92.7,0.0,0.3,6,59.901,0.803,851.982
63.4,74.38,92.8,0.0,0.2,6,62.856,0.830,852.307
63.4,74.51,92.8,0.0,0.2,6,67.296,0.873,852.794
63.4,74.61,92.9,0.0,0.2,6,70.260,0.902,853.117
63.4,74.75,92.9,0.0,0.1,6,74.714,0.945,853.601
78.3,74.88,92.9,0.0,0.0,6,79.177,0.983,854.083
78.3,74.97,93.0,0.0,-0.0,6,82.157,1.007,854.405
78.3,75.11,93.0,0.0,-0.0,6,86.633,1.042,854.886
78.3,75.19,93.0,0.0,0.0,6,89.621,1.066,855.207
93.3,75.33,93.1,0.0,0.0,6,94.111,1.101,855.689
93.3,75.42,93.1,0.0,0.1,6,97.108,1.123,856.010
93.3,75.55,93.1,0.0,0.1,6,101.611,1.156,856.493
93.3,75.63,93.2,0.0,0.2,6,104.618,1.177,856.814
108.4,75.76,93.2,0.0,0.5,6,109.134,1.209,857.296
108.4,75.85,93.2,0.0,0.6,6,112.149,1.231,857.617
108.4,75.98,93.3,0.0,0.5,6,116.678,1.265,858.097
108.4,76.07,93.3,0.0,0.4,6,119.702,1.287,858.416
123.5,76.20,93.3,0.0,0.4,6,124.244,1.314,858.891
123.5,76.28,93.4,0.0,0.5,6,127.277,1.330,859.206
123.5,76.40,93.4,0.0,0.5,6,131.833,1.354,859.676
123.5,76.52,93.4,0.0,0.4,6,136.396,1.381,860.143
138.9,76.59,93.5,0.0,0.3,6,139.443,1.405,860.453
138.9,76.72,93.5,0.0,0.3,6,144.018,1.438,860.915
138.9,76.80,93.5,0.0,0.3,6,147.073,1.457,861.221
138.9,76.92,93.6,0.0,0.3,6,151.662,1.485,861.679
154.2,77.00,93.6,0.0,0.3,6,154.725,1.504,861.982
154.2,77.12,93.6,0.0,0.1,6,159.326,1.528,862.435
154.2,77.19,93.6,0.0,0.2,6,162.398,1.546,862.735
154.2,77.31,93.7,0.0,0.2,6,167.011,1.576,863.184
169.6,77.38,93.7,0.0,0.1,6,170.090,1.596,863.482
169.6,77.50,93.7,0.0,-0.2,6,174.715,1.627,863.928
169.6,77.57,93.7,0.0,-0.3,6,177.801,1.648,864.224
169.6,77.69,93.8,0.0,-0.3,6,182.438,1.678,864.669
185.1,77.77,93.8,0.0,-0.5,6,185.532,1.697,864.966
185.1,77.87,93.8,0.0,-0.8,6,190.180,1.724,865.415
185.1,77.94,93.8,0.0,-1.0,6,193.281,1.745,865.718
185.1,78.06,93.8,0.0,-0.6,6,197.938,1.774,866.177
200.7,78.15,93.9,0.0,-0.5,6,202.601,1.802,866.644
200.7,78.22,94.0,0.0,-0.4,6,205.712,1.819,866.960
200.7,78.33,94.0,0.0,0.0,6,210.384,1.843,867.440
200.7,78.40,94.0,0.0,0.3,6,213.502,1.861,867.763
216.3,78.49,94.1,0.0,0.5,0,218.183,1.892,868.253
216.3,78.40,0.0,0.0,0.4,0,221.304,1.914,868.580
216.3,78.44,93.4,0.0,0.3,7,225.982,1.946,869.068
216.3,78.50,93.4,0.0,0.4,7,229.104,1.968,869.390
232.0,78.61,93.4,0.0,0.7,7,233.793,2.002,869.869
232.0,78.68,93.4,0.0,0.9,7,236.922,2.025,870.185
232.0,78.73,54.3,4.6,1.2,7,241.622,2.059,870.651
232.0,78.54,3.7,46.0,1.5,7,244.753,2.076,870.956
247.7,77.55,0.0,79.0,1.9,7,249.420,2.101,871.401
247.7,76.71,0.0,86.5,2.4,7,252.493,2.117,871.687
247.7,75.36,0.0,90.3,3.0,7,257.040,2.141,872.096
263.0,73.98,0.0,91.7,3.5,0,261.506,2.166,872.478
263.0,73.06,18.5,92.8,4.1,0,264.439,2.182,872.716
263.0,71.66,0.0,92.5,4.4,6,268.771,2.206,873.043
263.0,70.73,0.0,92.2,4.9,6,271.614,2.220,873.240
277.3,69.34,0.0,92.0,5.8,6,275.811,2.238,873.500
277.3,68.42,0.0,91.8,6.4,6,278.564,2.249,873.647
277.3,67.03,0.0,90.7,6.4,6,282.626,2.264,873.826
277.3,66.14,0.0,92.1,7.0,0,285.289,2.274,873.916
290.7,64.79,0.0,89.6,6.8,5,289.219,2.286,874.005
290.7,63.87,0.0,80.2,5.6,5,291.794,2.296,874.032
290.7,62.70,0.0,50.7,5.4,5,295.592,2.313,874.020
290.7,62.13,0.0,31.2,5.9,5,298.088,2.324,873.976
303.2,61.52,0.0,24.4,6.9,5,301.796,2.341,873.848
303.2,61.17,0.0,21.7,8.6,5,304.247,2.353,873.721
303.2,60.70,0.0,12.7,11.3,5,307.895,2.373,873.470
303.2,60.45,0.0,10.3,12.9,5,310.309,2.389,873.262
315.2,60.10,0.0,8.7,15.3,5,313.908,2.412,872.893
315.2,59.80,0.0,1.1,15.9,5,317.478,2.435,872.454
315.2,59.64,1.3,1.5,13.6,5,319.843,2.449,872.121
315.2,59.38,0.0,10.7,12.0,5,323.371,2.471,871.560
327.0,59.14,0.0,15.0,11.5,5,325.705,2.484,871.146
327.0,58.72,0.0,23.5,11.3,5,329.177,2.503,870.468
327.0,58.38,0.0,25.2,12.7,5,331.468,2.514,869.979
327.0,57.84,0.0,9.4,14.2,5,334.865,2.531,869.189
338.7,57.64,18.3,0.0,14.9,5,337.104,2.543,868.624
338.7,57.63,55.7,0.0,16.8,5,340.438,2.560,867.713
338.7,57.69,69.6,0.0,18.9,5,342.650,2.571,867.062
338.7,57.82,72.7,0.0,22.4,5,345.955,2.587,866.020
350.8,57.90,68.3,0.0,25.2,5,348.148,2.598,865.281
350.8,57.94,51.5,0.0,25.9,5,351.418,2.614,864.106
350.8,57.90,25.6,3.9,26.2,5,353.583,2.625,863.279
350.8,57.63,0.0,3.1,26.7,5,356.795,2.643,861.974
363.0,57.45,20.7,0.0,25.6,5,358.909,2.655,861.063
363.0,57.38,52.0,0.0,23.6,5,362.042,2.674,859.632
363.0,57.47,82.2,0.0,22.1,5,365.137,2.693,858.122
363.0,57.57,75.1,0.0,21.9,5,367.184,2.704,857.071
375.3,57.63,60.5,0.0,23.1,5,370.224,2.723,855.426
375.3,57.68,75.5,0.0,24.3,5,372.228,2.735,854.287
375.3,57.85,87.1,0.0,25.6,5,375.204,2.753,852.512
375.3,57.97,87.3,0.0,26.2,5,377.168,2.766,851.284
387.4,58.16,87.3,0.0,27.2,5,380.085,2.784,849.380
387.4,58.28,87.4,0.0,28.9,5,382.009,2.795,848.069
387.4,58.46,87.5,0.0,31.6,5,384.863,2.809,846.040
387.4,58.57,87.6,0.0,32.5,5,386.743,2.820,844.646
399.8,58.74,87.7,0.0,32.0,5,389.525,2.836,842.491
399.8,58.86,87.8,0.0,31.7,5,391.355,2.848,841.014
399.8,59.03,87.9,0.0,31.2,5,394.061,2.864,838.737
399.8,59.14,88.0,0.0,30.4,5,395.837,2.875,837.179
412.0,59.30,87.9,0.0,28.4,5,398.458,2.893,834.781
412.0,59.37,38.2,24.5,26.8,5,401.024,2.911,832.311
412.0,59.07,0.0,41.5,25.8,5,402.697,2.923,830.632
