opponent,v3,Jack Aitken,0,1771614642324
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 19:10:42,Silverstone Grand Prix Circuit - ELMS,Cadillac Whelen 2025 #311:LM (Hyper),Live,107.269,0,0,0
Tracklen [m],TotalLaps
5868.5,3
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
143.4,74.10,92.7,0.0,0.1,6,142.413,1.446,861.015
203.3,75.99,93.2,0.0,-0.4,6,206.676,1.843,867.231
203.3,76.12,93.1,0.0,0.1,6,211.217,1.866,867.687
203.3,76.19,93.2,0.0,0.3,6,214.247,1.884,867.997
218.5,76.31,93.2,0.0,0.2,6,218.798,1.914,868.468
218.5,76.40,93.2,0.0,0.2,6,221.835,1.936,868.784
218.5,76.51,93.3,0.0,0.2,6,226.398,1.968,869.259
218.5,76.60,93.3,0.0,0.3,6,229.444,1.989,869.574
233.8,76.71,93.3,0.0,0.6,6,234.019,2.023,870.043
233.8,76.79,93.3,0.0,0.8,6,237.072,2.046,870.353
233.8,76.76,34.3,31.3,1.0,6,241.658,2.079,870.812
233.8,76.33,0.0,60.8,1.2,6,244.708,2.096,871.113
249.2,75.16,0.0,82.9,1.6,6,249.236,2.120,871.551
249.2,74.25,0.0,87.8,1.7,6,252.213,2.135,871.834
249.2,72.81,0.0,90.1,1.6,6,256.609,2.157,872.240
249.2,71.83,0.0,90.6,1.7,6,259.492,2.172,872.497
263.8,70.38,0.0,91.2,1.8,6,263.746,2.197,872.862
263.8,68.91,0.0,90.9,2.3,6,267.915,2.219,873.195
263.8,67.94,0.0,91.5,2.2,6,270.647,2.233,873.400
263.8,66.51,0.0,91.7,2.1,6,274.674,2.251,873.678
277.5,65.55,0.0,91.3,2.4,6,277.312,2.262,873.844
277.5,64.13,30.9,90.8,2.7,0,281.198,2.277,874.061
277.5,63.18,0.0,86.8,2.6,5,283.744,2.287,874.182
277.5,61.88,0.0,71.1,3.0,5,287.494,2.299,874.328
290.2,61.09,0.0,59.0,2.6,5,289.954,2.306,874.399
290.2,60.09,0.0,41.0,2.5,5,293.589,2.321,874.459
290.2,59.59,0.0,25.9,3.8,5,295.983,2.331,874.466
290.2,59.06,0.0,14.1,6.6,5,299.542,2.345,874.424
302.1,58.79,0.0,13.6,8.5,5,301.898,2.355,874.359
302.1,58.39,0.0,8.9,11.2,5,305.411,2.372,874.207
302.1,58.17,0.0,5.3,11.8,5,307.738,2.385,874.068
302.1,57.89,0.0,3.0,12.3,5,311.210,2.406,873.803
359.7,55.48,19.1,0.0,24.8,5,356.123,2.649,862.972
359.7,55.31,16.9,0.0,25.8,5,359.168,2.667,861.638
359.7,55.19,17.9,0.0,26.2,5,361.174,2.679,860.711
359.7,55.13,59.6,0.0,26.5,5,364.149,2.697,859.263
371.2,55.20,74.7,0.0,26.7,5,366.114,2.708,858.260
371.2,55.27,50.5,0.0,26.5,5,369.036,2.725,856.695
371.2,55.27,52.9,0.0,26.7,5,370.964,2.737,855.613
371.2,55.36,82.9,0.0,26.8,5,373.824,2.755,853.932
382.7,55.55,87.0,0.0,26.1,5,376.653,2.773,852.182
382.7,55.68,87.0,0.0,25.3,5,378.521,2.784,850.975
382.7,55.86,87.2,0.0,24.5,5,381.297,2.801,849.107
382.7,55.99,87.3,0.0,24.1,5,383.128,2.812,847.824
394.7,56.17,87.4,0.0,23.6,5,385.845,2.827,845.841
394.7,56.28,87.5,0.0,23.5,5,387.635,2.838,844.480
394.7,56.46,80.9,0.0,22.4,5,390.287,2.854,842.381
394.7,56.52,63.0,0.0,22.0,5,392.031,2.865,840.944
406.3,56.58,55.8,0.0,22.1,5,394.607,2.882,838.736
406.3,56.57,40.8,0.0,22.1,5,396.296,2.892,837.230
406.3,56.53,43.0,0.0,21.2,5,398.784,2.909,834.923
406.3,56.49,31.6,3.3,21.0,5,400.411,2.921,833.353
417.9,56.18,0.0,23.6,19.9,5,402.800,2.938,830.959
417.9,55.82,0.0,6.6,18.3,5,404.353,2.949,829.343
417.9,55.65,59.7,0.0,13.6,5,406.622,2.965,826.890
417.9,55.75,85.5,0.0,11.2,5,408.103,2.975,825.226
462.6,58.65,88.8,0.0,11.7,5,433.567,3.204,786.015
474.2,58.88,88.9,0.0,10.0,5,435.029,3.231,782.807
474.2,59.01,89.0,0.0,10.0,5,435.971,3.253,780.646
474.2,59.07,88.6,0.0,8.6,5,437.339,3.284,777.378
474.2,59.26,68.0,0.0,5.9,5,438.235,3.290,775.187
485.8,59.38,79.8,0.0,0.5,5,439.529,3.299,771.872
485.8,59.47,89.2,0.0,-0.3,5,440.350,3.315,769.641
485.8,59.71,89.3,0.0,1.6,5,441.528,3.347,766.266
485.8,59.85,89.5,0.0,4.5,5,442.284,3.371,763.999
497.6,60.07,89.5,0.0,6.7,5,443.389,3.399,760.575
497.6,60.22,75.5,0.0,7.4,5,444.107,3.411,758.278
497.6,60.37,82.1,0.0,7.2,5,445.149,3.436,754.814
497.6,60.53,89.6,0.0,5.8,5,445.822,3.454,752.493
509.4,60.72,89.7,0.0,2.5,5,446.798,3.481,748.989
509.4,60.89,89.2,0.0,1.8,5,447.428,3.500,746.640
509.4,61.12,88.6,0.0,2.4,5,448.343,3.528,743.096
558.8,64.26,90.9,0.0,0.7,5,457.807,3.930,691.342
571.4,64.49,91.0,0.0,0.9,5,458.311,3.962,687.513
571.4,64.63,91.0,0.0,1.0,5,458.643,3.984,684.952
571.4,64.85,91.1,0.0,1.0,5,459.134,4.017,681.100
571.4,65.00,91.2,0.0,1.0,5,459.458,4.039,678.523
584.3,65.22,91.2,0.0,1.0,5,459.938,4.072,674.647
584.3,65.36,91.3,0.0,1.0,5,460.254,4.094,672.055
584.3,65.57,91.3,0.0,0.9,5,460.720,4.127,668.156
584.3,65.72,91.4,0.0,0.9,5,461.026,4.149,665.548
597.3,65.93,91.4,0.0,1.1,5,461.478,4.181,661.625
597.3,66.07,91.5,0.0,1.1,5,461.773,4.203,659.002
597.3,66.27,91.5,0.0,1.2,5,462.209,4.236,655.056
597.3,66.41,91.6,0.0,1.1,5,462.493,4.259,652.418
610.4,66.62,91.6,0.0,1.3,5,462.910,4.293,648.449
610.4,66.83,91.7,0.0,1.4,5,463.316,4.326,644.467
610.4,66.96,91.7,0.0,1.5,5,463.580,4.348,641.805
623.8,67.16,91.8,0.0,1.5,5,463.966,4.381,637.801
623.8,67.29,91.8,0.0,1.4,5,464.216,4.403,635.124
623.8,67.49,91.9,0.0,1.2,5,464.581,4.436,631.097
623.8,67.62,91.9,0.0,1.2,5,464.816,4.458,628.406
637.2,67.82,92.0,0.0,1.1,5,465.158,4.490,624.358
637.2,67.95,92.0,0.0,1.1,5,465.379,4.511,621.652
637.2,68.13,92.1,0.0,1.2,5,465.699,4.543,617.583
637.2,68.26,92.1,0.0,1.1,5,465.907,4.565,614.863
650.8,68.45,92.2,0.0,0.9,5,466.208,4.597,610.773
650.8,68.58,92.2,0.0,0.9,5,466.402,4.619,608.040
650.8,68.76,92.3,0.0,0.6,5,466.686,4.651,603.930
650.8,68.88,92.3,0.0,0.5,5,466.869,4.673,601.184
664.6,69.06,92.4,0.0,0.7,5,467.136,4.705,597.055
664.6,69.19,92.4,0.0,0.9,5,467.310,4.726,594.295
664.6,69.36,92.5,0.0,-0.4,5,467.566,4.757,590.147
664.6,69.54,92.5,0.0,-1.0,5,467.817,4.787,585.988
678.5,69.66,92.5,0.0,-0.4,5,467.985,4.806,583.209
678.5,69.84,92.6,0.0,0.2,5,468.239,4.833,579.033
678.5,69.95,92.6,0.0,0.5,5,468.410,4.850,576.242
678.5,70.04,0.0,0.0,0.7,0,468.669,4.874,572.049
749.6,72.35,92.4,0.0,0.3,6,472.375,4.969,506.722
749.6,72.51,92.4,0.0,0.3,6,472.595,4.956,502.382
764.1,72.67,92.4,0.0,0.2,6,472.813,4.940,498.032
764.1,72.77,92.5,0.0,0.1,6,472.957,4.926,495.127
764.1,72.92,92.5,0.0,0.0,6,473.170,4.904,490.762
764.1,73.02,92.5,0.0,0.1,6,473.311,4.888,487.847
837.9,75.09,93.1,0.0,-6.9,6,478.421,4.554,419.894
837.9,75.19,93.1,0.0,-6.8,6,479.127,4.535,415.442
837.9,75.26,93.1,0.0,-7.4,6,479.637,4.525,412.477
852.8,75.37,93.2,0.0,-8.2,6,480.460,4.508,408.034
852.8,75.44,93.2,0.0,-8.5,6,481.048,4.497,405.076
852.8,75.53,93.2,0.0,-8.6,6,481.990,4.478,400.646
852.8,75.59,93.3,0.0,-8.9,6,482.657,4.463,397.699
867.7,75.69,93.3,0.0,-9.2,6,483.719,4.436,393.286
867.7,75.75,93.3,0.0,-9.8,6,484.467,4.414,390.351
867.7,75.84,93.3,0.0,-10.8,6,485.650,4.374,385.961
867.7,75.88,93.3,0.0,-10.9,6,486.481,4.343,383.043
882.7,75.97,93.3,0.0,-9.6,6,487.794,4.294,378.681
882.7,76.01,93.4,0.0,-9.0,6,488.714,4.260,375.784
882.7,76.09,93.4,0.0,-7.7,6,490.162,4.206,371.458
882.7,76.14,93.4,0.0,-7.7,6,491.173,4.168,368.586
898.0,76.22,93.4,0.0,-8.1,6,492.755,4.111,364.298
898.0,76.31,93.5,0.0,-8.1,6,494.417,4.053,360.035
898.0,76.37,93.5,0.0,-6.6,6,495.567,4.016,357.207
898.0,76.39,52.8,46.5,-2.9,6,497.352,3.959,352.985
913.6,75.89,0.0,60.3,-0.2,6,498.573,3.921,350.191
913.6,74.89,0.0,29.8,3.6,6,500.422,3.866,346.064
913.6,74.48,0.0,15.7,4.7,6,501.661,3.832,343.345
913.6,73.97,0.0,35.5,4.4,6,503.516,3.775,339.295
928.9,73.48,0.0,45.5,3.9,6,504.739,3.734,336.610
928.9,72.59,0.0,47.8,3.6,6,506.533,3.674,332.610
928.9,72.00,0.0,45.3,4.1,6,507.695,3.640,329.961
928.9,71.17,0.0,37.8,5.3,6,509.386,3.596,326.012
943.8,70.67,0.0,34.5,5.7,6,510.477,3.568,323.392
943.8,69.96,0.0,35.2,5.8,6,512.058,3.529,319.479
943.8,69.48,0.0,32.4,4.5,6,513.072,3.505,316.881
943.8,68.82,0.0,30.9,3.8,6,514.532,3.473,312.996
957.8,68.04,0.0,57.4,3.7,6,515.921,3.444,309.129
957.8,67.36,0.0,61.2,5.6,6,516.806,3.428,306.568
957.8,66.35,0.0,53.5,7.8,6,518.069,3.409,302.759
957.8,65.73,0.0,46.9,8.6,6,518.868,3.399,300.240
970.9,64.88,0.0,35.4,9.6,6,520.004,3.384,296.490
970.9,64.40,0.0,34.5,9.2,6,520.716,3.374,294.003
970.9,63.69,0.0,23.8,8.3,6,521.716,3.359,290.292
970.9,63.36,29.2,2.3,7.7,6,522.337,3.349,287.828
983.4,63.37,84.1,0.0,8.3,6,523.202,3.331,284.128
983.4,63.41,37.9,12.0,9.3,6,523.736,3.319,281.648
983.4,62.96,0.0,20.7,11.9,0,524.466,3.301,277.925
983.4,62.62,33.8,10.4,12.1,0,524.905,3.291,275.452
996.6,62.36,61.1,0.0,10.6,5,525.491,3.279,271.750
996.6,62.39,56.5,4.1,9.0,5,525.836,3.273,269.279
996.6,62.14,0.0,15.8,6.8,5,526.286,3.269,265.568
1060.9,59.38,69.6,0.0,5.3,5,523.218,3.336,209.891
1060.9,59.54,87.0,0.0,3.6,5,522.323,3.365,206.439
1060.9,59.68,87.1,0.0,3.5,5,521.682,3.385,204.142
1072.7,59.91,87.1,0.0,3.0,5,520.663,3.415,200.703
1072.7,60.07,87.2,0.0,1.7,5,519.951,3.436,198.412
1072.7,60.32,87.3,0.0,0.1,5,518.850,3.467,194.973
1072.7,60.48,87.4,0.0,-0.7,5,518.103,3.487,192.676
1084.8,60.72,87.5,0.0,-3.4,5,516.971,3.517,189.221
1084.8,60.89,87.6,0.0,-4.2,5,516.215,3.536,186.909
1084.8,61.14,87.7,0.0,-4.7,5,515.090,3.563,183.426
1084.8,61.29,87.8,0.0,-5.1,5,514.350,3.580,181.093
1097.1,61.35,22.4,14.4,-5.6,5,513.261,3.602,177.576
1097.1,61.09,0.0,34.0,-6.0,5,512.557,3.616,175.229
1097.1,60.35,0.0,54.6,-6.1,5,511.541,3.635,171.727
1097.1,59.71,0.0,64.3,-5.7,5,510.895,3.648,169.413
1109.3,58.63,0.0,69.3,-5.4,5,509.973,3.666,165.982
1109.3,57.89,0.0,70.5,-4.6,5,509.390,3.677,163.724
1109.3,56.76,0.0,67.5,-3.7,5,508.569,3.691,160.383
1109.3,55.67,0.0,61.6,-2.5,5,507.811,3.704,157.095
1120.8,54.97,0.0,55.8,-2.0,5,507.342,3.714,154.931
1120.8,54.05,39.1,46.6,-2.2,0,506.696,3.729,151.724
1120.8,53.53,0.0,38.7,-2.0,4,506.301,3.737,149.607
1120.8,52.82,0.0,23.2,-2.6,4,505.766,3.750,146.462
1131.8,52.48,0.0,12.3,-4.2,4,505.446,3.757,144.380
1131.8,52.14,0.0,2.5,-8.1,4,505.022,3.766,141.271
1131.8,51.99,0.0,0.4,-11.4,4,504.774,3.771,139.203
1131.8,51.79,5.0,0.0,-15.5,4,504.455,3.775,136.106
