opponent,v3,Ricky Taylor,0,1771613660507
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:54:20,Silverstone Grand Prix Circuit - ELMS,Cadillac WTR 2025 #101:LM (Hyper),Live,108.197,0,0,0
Tracklen [m],TotalLaps
5869.1,7
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
214.1,75.05,0.0,19.0,0.5,6,225.099,1.994,866.449
293.9,53.85,0.0,12.9,4.2,5,296.944,2.361,872.468
293.9,53.52,0.0,8.4,5.2,5,300.165,2.376,872.447
293.9,53.33,0.0,8.3,7.9,5,302.302,2.386,872.411
304.6,53.05,0.0,5.3,7.9,5,305.493,2.402,872.328
304.6,54.80,0.0,24.5,5.5,5,307.639,2.413,872.244
304.6,54.28,0.0,49.6,0.2,5,310.908,2.432,872.070
304.6,53.75,0.0,46.3,-0.7,0,313.065,2.444,871.933
315.3,53.02,0.0,35.8,3.2,4,316.261,2.461,871.700
315.3,52.40,0.0,14.2,9.4,4,319.411,2.477,871.430
315.3,52.14,0.0,6.5,12.5,4,321.492,2.487,871.225
325.9,51.86,0.0,7.0,16.7,4,324.593,2.503,870.878
325.9,51.66,0.0,7.9,17.8,4,326.647,2.514,870.618
325.9,51.33,0.0,12.6,19.4,4,329.707,2.528,870.182
325.9,51.08,0.0,9.8,20.9,4,331.730,2.537,869.859
336.2,50.74,3.0,1.2,22.3,4,334.737,2.551,869.321
336.2,50.62,31.1,0.0,23.2,4,336.725,2.560,868.926
336.2,50.63,51.3,0.0,24.6,4,339.692,2.573,868.275
336.2,50.67,50.2,0.0,25.7,4,341.662,2.582,867.802
346.7,50.70,41.2,0.0,28.2,4,344.604,2.594,867.035
346.7,50.66,30.8,0.0,30.4,4,346.555,2.602,866.484
346.7,50.54,23.1,0.0,35.3,4,349.460,2.615,865.600
346.7,50.44,18.9,0.0,39.6,4,351.381,2.623,864.974
357.3,50.27,17.3,0.0,45.6,4,354.234,2.636,863.978
357.3,50.09,15.3,0.0,51.0,4,357.053,2.651,862.920
357.3,49.96,14.6,0.0,54.3,4,358.912,2.661,862.180
357.3,49.77,13.6,0.0,58.3,4,361.672,2.676,861.023
367.8,49.64,14.3,0.0,60.3,4,363.492,2.686,860.221
367.8,49.45,14.3,0.0,62.0,4,366.190,2.700,858.973
367.8,49.31,13.7,0.0,62.5,4,367.967,2.709,858.110
367.8,49.10,13.4,0.0,62.4,4,370.598,2.723,856.770
378.0,48.96,13.3,0.0,60.5,4,372.328,2.733,855.846
378.0,48.75,13.2,0.0,59.4,4,374.886,2.748,854.414
378.0,48.61,13.3,0.0,59.6,4,376.566,2.757,853.429
378.0,48.41,13.2,0.0,56.5,4,379.048,2.772,851.908
388.2,48.27,13.2,0.0,56.7,4,380.676,2.782,850.864
388.2,48.07,13.4,0.0,57.1,4,383.079,2.796,849.257
388.2,47.93,13.3,0.0,57.0,4,384.654,2.805,848.159
388.2,47.74,13.5,0.0,56.6,4,386.974,2.818,846.469
398.1,47.54,13.8,0.0,55.7,4,389.244,2.833,844.732
398.1,47.35,14.5,0.0,53.7,4,391.463,2.847,842.948
398.1,47.23,15.1,0.0,52.5,4,392.914,2.857,841.734
398.1,47.07,16.1,0.0,49.6,4,395.047,2.871,839.875
407.9,46.95,16.9,0.0,46.8,4,396.440,2.880,838.612
407.9,46.81,21.2,0.0,41.7,4,398.484,2.894,836.680
407.9,46.74,26.4,0.0,38.3,4,399.817,2.904,835.367
