opponent,v3,Marcel Weber#3455,0,1771610747009
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:05:47,Silverstone Grand Prix Circuit - ELMS,Peugeot TotalEnergies 2025 #93:EC (Hyper),Live,108.575,0,0,0
Tracklen [m],TotalLaps
5872.9,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
14.6,71.85,76.1,0.0,1.0,6,19.877,0.398,848.935
14.6,72.00,74.8,0.0,1.0,6,22.733,0.420,849.263
14.6,72.13,72.9,0.0,0.8,6,27.025,0.456,849.747
28.9,72.22,71.6,0.0,0.6,6,29.894,0.476,850.065
28.9,72.37,69.8,0.0,0.2,6,34.209,0.506,850.537
28.9,72.50,68.5,0.0,0.2,6,37.091,0.538,850.854
28.9,72.62,66.6,0.0,0.0,6,41.417,0.577,851.328
43.4,72.68,65.3,0.0,0.0,6,44.303,0.606,851.641
43.4,72.84,63.5,0.0,0.2,6,48.640,0.641,852.114
43.4,73.02,61.6,0.0,0.0,6,52.993,0.692,852.590
43.4,73.12,60.4,0.0,0.0,6,55.900,0.717,852.907
58.0,73.24,58.4,0.0,-0.2,6,60.267,0.755,853.381
58.0,73.35,58.5,0.0,-0.2,6,63.180,0.782,853.697
58.0,73.48,58.6,0.0,-0.4,6,67.555,0.824,854.180
58.0,73.54,58.6,0.0,-0.6,6,70.480,0.849,854.503
72.7,73.75,58.6,0.0,-0.8,6,74.869,0.891,854.994
72.7,73.82,58.5,0.0,-0.8,6,77.801,0.923,855.325
72.7,73.90,58.6,0.0,-0.8,6,82.202,0.959,855.831
72.7,74.03,58.6,0.0,-0.6,6,85.141,0.978,856.173
87.4,74.17,58.7,0.0,0.0,6,89.559,1.014,856.693
87.4,74.26,58.7,0.0,0.6,6,92.507,1.039,857.038
87.4,74.46,58.8,0.0,1.4,6,96.937,1.074,857.549
87.4,74.53,58.7,0.0,2.0,6,99.894,1.095,857.882
102.2,74.55,58.7,0.0,2.3,6,104.338,1.126,858.371
102.2,74.61,58.8,0.0,2.3,6,107.309,1.147,858.684
102.2,74.76,58.8,0.0,2.0,6,111.771,1.180,859.129
117.2,75.04,58.9,0.0,1.8,6,116.245,1.209,859.554
117.2,75.11,59.0,0.0,1.6,6,119.237,1.232,859.825
117.2,75.13,58.9,0.0,1.6,6,123.714,1.262,860.221
117.2,75.34,58.8,0.0,1.6,6,126.714,1.283,860.482
132.1,75.47,59.0,0.0,1.6,6,131.224,1.300,860.859
132.1,75.48,59.0,0.0,1.2,6,134.231,1.318,861.101
132.1,75.67,59.1,0.0,0.6,6,138.745,1.351,861.456
132.1,75.79,59.3,0.0,0.2,6,141.759,1.372,861.690
147.4,75.87,59.0,0.0,-0.2,6,146.289,1.406,862.046
147.4,75.89,59.1,0.0,-0.2,6,149.313,1.429,862.286
147.4,75.96,59.1,0.0,-0.4,6,153.854,1.452,862.651
147.4,76.17,59.1,0.0,-0.4,6,156.881,1.472,862.898
162.5,76.23,59.2,0.0,-0.6,6,161.433,1.501,863.278
162.5,76.31,59.1,0.0,-0.6,6,164.474,1.518,863.536
162.5,76.44,59.2,0.0,-0.4,6,169.040,1.539,863.927
162.5,76.51,59.2,0.0,-0.4,6,172.088,1.564,864.191
177.8,76.61,59.3,0.0,-0.2,6,176.662,1.596,864.594
177.8,76.77,59.3,0.0,-0.2,6,181.245,1.634,864.999
177.8,76.52,0.0,0.0,-0.2,0,184.297,1.647,865.268
177.8,76.71,88.2,0.0,-0.4,7,188.877,1.677,865.675
193.1,76.84,86.9,0.0,-0.4,7,191.935,1.696,865.949
193.1,76.91,85.0,0.0,-0.4,7,196.524,1.725,866.366
193.1,77.02,83.7,0.0,-0.4,7,199.589,1.740,866.647
193.1,77.12,81.8,0.0,-0.4,7,204.196,1.773,867.073
208.5,77.15,80.5,0.0,-0.4,7,207.267,1.783,867.361
208.5,77.25,78.6,0.0,-0.2,7,211.879,1.810,867.797
208.5,77.29,77.3,0.0,-0.2,7,214.956,1.828,868.090
208.5,77.44,68.3,0.0,0.0,7,219.577,1.862,868.532
223.9,77.41,48.2,0.0,0.0,7,222.662,1.877,868.826
223.9,76.78,0.0,28.6,0.0,7,227.270,1.911,869.260
223.9,76.06,0.0,52.4,0.0,7,230.310,1.935,869.547
223.9,74.80,0.0,74.6,0.0,7,234.814,1.968,869.973
239.1,73.58,0.0,79.4,0.2,7,239.241,2.006,870.390
239.1,72.79,0.0,79.4,0.2,7,242.153,2.024,870.663
239.1,71.56,6.3,79.4,0.4,0,246.461,2.055,871.066
239.1,70.71,0.0,79.4,0.4,6,249.292,2.070,871.329
253.5,69.48,0.0,79.4,0.2,6,253.482,2.086,871.714
253.5,68.66,0.0,79.4,0.4,6,256.235,2.099,871.966
253.5,67.42,0.0,79.4,0.4,6,260.301,2.123,872.333
253.5,66.64,0.0,79.4,0.6,6,262.970,2.140,872.571
267.1,65.43,0.0,79.4,0.6,6,266.915,2.162,872.917
267.1,64.64,0.0,79.4,0.6,6,269.510,2.169,873.140
267.1,63.47,7.9,79.4,0.8,0,273.342,2.190,873.464
267.1,62.67,0.0,77.8,1.0,5,275.857,2.197,873.671
279.8,61.53,0.0,76.2,1.0,5,279.572,2.210,873.965
279.8,60.77,0.0,74.6,1.2,5,282.010,2.220,874.153
279.8,59.65,0.0,71.4,1.8,5,285.617,2.234,874.419
279.8,59.04,0.0,66.7,3.1,5,287.990,2.239,874.582
291.8,58.12,0.0,57.1,7.0,5,291.501,2.259,874.796
291.8,57.38,0.0,44.4,10.6,5,294.965,2.270,874.947
291.8,57.04,0.0,33.3,12.9,5,297.257,2.275,875.003
291.8,56.85,1.6,7.9,17.0,5,300.678,2.288,875.022
303.3,56.74,11.9,0.0,18.8,5,302.948,2.298,874.988
303.3,56.57,16.6,0.0,20.9,5,306.351,2.314,874.866
303.3,56.44,16.4,0.0,21.7,5,308.610,2.330,874.736
303.3,56.27,17.4,0.0,22.5,5,311.982,2.347,874.472
314.4,56.17,17.2,0.0,22.7,5,314.219,2.365,874.249
314.4,56.02,15.4,0.0,22.9,5,317.561,2.378,873.849
314.4,55.93,13.9,0.0,22.9,5,319.781,2.394,873.543
314.4,55.82,12.1,0.0,23.3,5,323.097,2.420,873.025
325.4,55.70,10.2,0.0,23.5,5,325.294,2.434,872.636
325.4,55.52,7.9,0.0,23.7,5,328.570,2.455,871.992
325.4,55.38,3.2,0.0,23.9,5,330.737,2.463,871.520
325.4,55.14,1.6,0.0,24.1,5,333.965,2.482,870.756
336.4,54.92,0.0,0.0,24.1,5,337.161,2.496,869.917
336.4,54.81,0.0,0.0,24.1,5,339.272,2.504,869.317
336.4,54.56,0.0,0.0,23.9,5,342.409,2.519,868.360
336.4,54.44,0.0,0.0,23.7,5,344.484,2.535,867.681
347.5,54.23,1.6,0.0,23.7,5,347.561,2.551,866.604
347.5,54.09,1.6,0.0,23.5,5,349.590,2.557,865.847
347.5,53.87,3.2,0.0,23.1,5,352.601,2.573,864.654
347.5,53.75,3.2,0.0,22.9,5,354.587,2.582,863.823
358.8,53.57,4.8,0.0,22.5,5,357.528,2.599,862.514
358.8,53.43,10.8,0.0,22.3,5,359.463,2.614,861.605
358.8,53.39,32.8,0.0,21.9,5,362.332,2.630,860.185
