opponent,v3,Julien Andlauer,0,1771613893574
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:58:13,Silverstone Grand Prix Circuit - ELMS,Porsche Penske Motorsport 2025 #5:LM (Hyper),Live,109.001,0,0,0
Tracklen [m],TotalLaps
5869.1,15
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
182.7,75.49,79.9,0.0,-0.4,6,189.162,1.705,865.123
182.7,75.58,80.7,0.0,-0.5,6,193.672,1.734,865.557
197.8,75.64,80.7,0.0,-0.3,6,196.682,1.754,865.851
197.8,75.74,83.1,0.0,-0.3,6,201.201,1.781,866.297
197.8,75.80,80.6,0.0,-0.4,6,204.216,1.799,866.599
197.8,75.89,80.4,0.0,-0.3,6,208.743,1.823,867.056
213.0,75.95,78.8,0.0,-0.1,6,211.764,1.839,867.365
213.0,76.04,82.4,0.0,0.3,6,216.299,1.866,867.833
213.0,76.13,84.7,0.0,0.4,6,220.839,1.898,868.306
213.0,76.21,82.4,0.0,0.4,6,223.870,1.920,868.621
228.2,76.29,71.1,0.0,0.4,6,228.420,1.951,869.092
228.2,76.21,25.7,33.8,0.4,6,231.455,1.972,869.402
228.2,75.44,0.0,81.6,0.5,6,235.987,2.005,869.860
228.2,74.64,0.0,87.6,0.4,6,238.975,2.027,870.158
243.3,73.38,0.0,89.4,0.3,6,243.396,2.057,870.594
243.3,72.45,0.0,89.2,0.4,6,246.301,2.072,870.875
243.3,71.14,0.0,89.0,0.6,6,250.592,2.096,871.281
243.3,70.28,0.0,88.8,1.0,6,253.410,2.112,871.542
257.6,68.98,0.0,88.4,1.4,6,257.574,2.134,871.915
257.6,68.12,0.0,88.1,1.6,6,260.307,2.149,872.151
257.6,66.84,0.0,87.5,1.7,6,264.345,2.171,872.485
257.6,66.01,0.0,87.1,1.9,6,266.996,2.185,872.692
271.1,64.74,0.0,86.7,2.1,6,270.911,2.205,872.976
271.1,63.50,0.0,86.3,2.2,6,274.752,2.221,873.227
271.1,62.67,0.0,85.9,2.4,6,277.273,2.231,873.373
271.1,61.46,30.5,84.2,2.3,0,280.995,2.244,873.558
283.7,60.65,0.0,76.4,2.1,5,283.437,2.254,873.657
283.7,59.58,0.0,59.0,2.3,5,287.043,2.266,873.766
283.7,58.97,0.0,42.6,2.2,5,289.414,2.274,873.811
283.7,58.31,0.0,26.1,2.8,5,292.933,2.288,873.829
295.5,57.98,0.0,24.4,4.0,5,295.259,2.299,873.809
295.5,57.51,0.0,20.2,5.9,5,298.723,2.314,873.731
295.5,57.22,0.0,15.1,6.8,5,301.017,2.325,873.648
295.5,56.87,0.0,11.4,7.4,5,304.435,2.342,873.475
306.9,56.65,0.0,11.3,7.5,5,306.701,2.354,873.326
306.9,56.34,0.0,7.4,5.7,5,310.081,2.375,873.053
306.9,56.17,0.0,5.9,6.4,5,312.321,2.390,872.836
