opponent,v3,Antonio Fuoco,0,1771612285346
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:31:25,Silverstone Grand Prix Circuit - ELMS,Ferrari AF Corse 2025 #50:LM (Hyper),Live,109.024,0,0,0
Tracklen [m],TotalLaps
5868.8,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
6.6,71.04,59.3,0.0,-0.2,6,10.669,0.346,846.735
6.6,71.14,59.3,0.0,-0.2,6,13.493,0.365,847.062
6.6,71.28,59.4,0.0,0.1,6,17.737,0.399,847.556
20.9,71.39,59.4,0.0,0.2,6,20.571,0.421,847.887
20.9,71.54,59.4,0.0,0.2,6,24.829,0.451,848.385
20.9,71.63,59.5,0.0,0.2,6,27.672,0.473,848.717
20.9,71.77,59.5,0.0,0.3,6,31.945,0.510,849.216
35.2,71.87,59.6,0.0,0.3,6,34.798,0.535,849.548
35.2,72.01,59.6,0.0,0.3,6,39.086,0.572,850.044
35.2,72.16,59.6,0.0,0.3,6,43.382,0.609,850.538
35.2,72.25,59.7,0.0,0.2,6,46.251,0.636,850.866
49.6,72.39,59.7,0.0,0.2,6,50.562,0.677,851.356
49.6,72.48,59.8,0.0,0.2,6,53.441,0.705,851.681
49.6,72.62,59.8,0.0,0.3,6,57.766,0.744,852.166
49.6,72.71,59.8,0.0,0.3,6,60.655,0.769,852.488
64.1,72.85,59.9,0.0,0.2,6,64.994,0.808,852.970
64.1,72.94,59.9,0.0,0.1,6,67.892,0.836,853.290
64.1,73.07,59.9,0.0,0.2,6,72.246,0.881,853.769
64.1,73.22,59.9,0.0,0.5,6,76.608,0.921,854.246
78.7,73.30,60.0,0.0,0.9,6,79.521,0.946,854.562
78.7,73.44,60.0,0.0,0.3,6,83.897,0.981,855.033
78.7,73.52,60.0,0.0,0.1,6,86.820,1.003,855.344
78.7,73.65,60.1,0.0,0.4,6,91.210,1.038,855.807
93.4,73.74,60.1,0.0,0.3,6,94.141,1.062,856.113
93.4,73.87,60.1,0.0,-0.2,6,98.546,1.095,856.571
93.4,73.96,60.1,0.0,0.2,6,101.486,1.115,856.875
93.4,74.09,60.1,0.0,0.1,6,105.904,1.147,857.331
108.2,74.17,60.2,0.0,-0.0,6,108.854,1.167,857.634
108.2,74.30,60.2,0.0,0.2,6,113.284,1.198,858.089
108.2,74.38,60.2,0.0,0.5,6,116.242,1.221,858.392
108.2,74.51,60.2,0.0,0.4,6,120.685,1.254,858.844
123.0,74.64,60.2,0.0,-0.1,6,125.137,1.280,859.294
123.0,74.72,60.2,0.0,-0.1,6,128.109,1.295,859.592
123.0,74.84,60.2,0.0,0.1,6,132.573,1.317,860.037
123.0,74.92,60.2,0.0,0.5,6,135.554,1.334,860.334
138.0,75.04,60.2,0.0,0.1,6,140.030,1.368,860.778
138.0,75.12,60.2,0.0,-0.0,6,143.019,1.391,861.073
138.0,75.25,60.2,0.0,0.0,6,147.508,1.419,861.514
138.0,75.33,60.3,0.0,0.4,6,150.505,1.438,861.808
153.0,75.44,60.3,0.0,0.2,6,155.006,1.466,862.247
153.0,75.53,60.3,0.0,0.1,6,158.011,1.482,862.538
153.0,75.64,60.3,0.0,0.0,6,162.525,1.506,862.975
153.0,75.71,60.3,0.0,0.1,6,165.538,1.526,863.265
168.1,75.82,60.3,0.0,0.1,6,170.063,1.556,863.700
168.1,75.94,60.3,0.0,-0.0,6,174.594,1.587,864.134
168.1,76.02,60.3,0.0,-0.1,6,177.619,1.608,864.423
183.3,76.13,60.3,0.0,-0.3,6,182.163,1.638,864.858
183.3,76.20,60.3,0.0,0.1,6,185.195,1.656,865.148
183.3,76.32,60.3,0.0,0.5,6,189.750,1.683,865.585
183.3,76.38,60.3,0.0,-0.2,6,192.789,1.702,865.876
198.5,76.50,60.3,0.0,-1.1,6,197.354,1.731,866.315
198.5,76.56,60.3,0.0,-0.9,6,200.401,1.749,866.609
198.5,76.67,60.3,0.0,-0.4,6,204.976,1.775,867.057
198.5,76.74,60.3,0.0,-0.3,6,208.029,1.791,867.362
213.8,76.84,60.3,0.0,-0.4,6,212.612,1.815,867.826
213.8,76.91,60.3,0.0,-0.3,6,215.671,1.834,868.140
213.8,77.01,60.3,0.0,0.1,6,220.264,1.866,868.615
213.8,77.12,60.3,0.0,0.3,6,224.863,1.898,869.094
229.2,77.18,60.3,0.0,0.4,6,227.932,1.920,869.413
229.2,77.28,60.3,0.0,0.3,6,232.541,1.952,869.888
229.2,77.34,60.3,0.0,0.4,6,235.618,1.976,870.202
229.2,77.42,41.1,28.5,0.6,6,240.238,2.011,870.667
244.7,77.06,2.4,60.5,0.7,6,243.315,2.031,870.972
244.7,76.01,0.0,79.4,1.0,6,247.888,2.054,871.417
244.7,75.19,0.0,82.1,1.3,6,250.900,2.068,871.705
244.7,73.95,0.0,84.8,1.7,6,255.358,2.091,872.120
259.8,73.11,0.0,84.7,1.8,6,258.289,2.106,872.384
259.8,71.84,0.0,84.9,1.9,6,262.624,2.130,872.760
259.8,70.60,0.0,85.5,2.9,6,266.886,2.154,873.107
259.8,69.76,0.0,86.0,2.8,6,269.687,2.169,873.320
274.0,68.50,0.0,85.4,2.6,6,273.827,2.188,873.609
274.0,67.67,0.0,85.0,2.9,6,276.547,2.200,873.781
274.0,66.43,0.0,85.3,3.5,6,280.566,2.215,874.005
274.0,65.60,0.0,83.5,3.8,6,283.205,2.225,874.129
287.3,64.43,0.0,76.1,4.4,6,287.106,2.239,874.276
287.3,63.67,0.0,68.0,4.3,6,289.668,2.247,874.346
287.3,62.68,0.0,52.9,4.0,6,293.459,2.261,874.404
287.3,62.15,0.0,35.2,4.6,6,295.956,2.272,874.408
299.9,61.59,0.0,21.8,6.8,6,299.668,2.287,874.363
299.9,61.28,0.0,21.8,8.6,6,302.125,2.298,874.297
299.9,60.84,0.0,14.7,10.6,6,305.786,2.316,874.142
299.9,60.59,0.0,9.6,10.9,6,308.210,2.329,874.000
312.0,60.28,0.0,6.5,11.1,6,311.826,2.351,873.724
312.0,60.00,0.0,2.5,11.9,6,315.418,2.374,873.375
312.0,59.85,1.7,0.1,12.7,6,317.799,2.389,873.100
312.0,59.65,4.2,0.0,13.7,6,321.353,2.411,872.624
323.8,59.51,3.0,1.2,14.8,0,323.709,2.426,872.262
323.8,59.31,1.3,0.1,16.4,5,327.222,2.447,871.655
323.8,59.18,4.8,0.0,17.1,5,329.549,2.460,871.207
323.8,59.00,12.0,0.0,17.8,5,333.017,2.477,870.468
335.6,58.90,14.1,0.0,18.2,5,335.313,2.488,869.930
335.6,58.72,8.3,0.0,18.6,5,338.731,2.505,869.054
335.6,58.59,8.2,0.0,19.0,5,340.991,2.516,868.424
335.6,58.39,8.3,0.0,19.6,5,344.352,2.531,867.411
347.5,58.26,9.5,0.0,20.2,5,346.571,2.541,866.691
347.5,58.07,14.4,0.0,22.1,5,349.866,2.557,865.541
347.5,57.94,18.7,0.0,22.5,5,353.122,2.573,864.311
347.5,57.84,14.7,0.0,23.2,5,355.270,2.585,863.446
359.9,57.66,8.1,0.0,24.5,5,358.456,2.604,862.083
359.9,57.52,3.4,0.2,24.9,5,360.555,2.616,861.132
359.9,57.38,30.4,0.0,24.9,5,363.664,2.635,859.646
359.9,57.40,48.8,0.0,24.8,5,365.713,2.647,858.613
371.8,57.48,38.1,0.0,25.2,5,368.759,2.665,856.999
371.8,57.48,33.8,0.0,26.0,5,370.768,2.677,855.881
371.8,57.51,42.0,0.0,27.2,5,373.747,2.695,854.143
371.8,57.56,44.8,0.0,27.7,5,375.711,2.707,852.943
383.8,57.64,44.7,0.0,27.3,5,378.624,2.725,851.085
383.8,57.68,40.1,0.0,27.1,5,380.543,2.738,849.806
383.8,57.73,40.9,0.0,26.5,5,383.387,2.754,847.831
383.8,57.76,39.6,0.0,26.1,5,385.257,2.764,846.477
396.1,57.82,47.3,0.0,25.3,5,388.023,2.781,844.387
396.1,57.92,47.9,0.0,23.7,5,390.742,2.798,842.227
396.1,57.98,45.7,0.0,23.1,5,392.527,2.809,840.748
408.0,58.08,47.3,0.0,22.7,5,395.164,2.826,838.475
408.0,58.15,48.0,0.0,22.3,5,396.894,2.837,836.923
408.0,58.28,55.1,0.0,21.3,5,399.447,2.855,834.540
408.0,58.36,37.5,8.1,21.0,5,401.121,2.867,832.915
420.0,58.05,0.0,15.0,19.5,5,403.582,2.884,830.433
420.0,57.76,38.4,0.0,15.5,5,405.969,2.900,827.911
420.0,57.81,71.3,0.0,12.2,5,407.523,2.910,826.201
420.0,57.98,67.6,0.0,10.2,5,409.808,2.925,823.585
431.6,58.11,60.8,0.0,10.7,5,411.302,2.933,821.809
431.6,58.31,57.3,0.0,12.7,5,413.500,2.943,819.095
431.6,58.51,57.5,0.0,15.6,5,415.643,2.955,816.323
431.6,58.64,57.6,0.0,18.3,5,417.044,2.965,814.445
443.1,58.84,57.7,0.0,19.4,5,419.108,2.977,811.589
443.1,58.98,57.7,0.0,20.1,5,420.456,2.984,809.657
443.1,59.16,57.9,0.0,19.9,5,422.429,2.997,806.713
443.1,59.27,57.9,0.0,19.4,5,423.710,3.008,804.721
454.5,59.45,58.0,0.0,18.0,5,425.576,3.026,801.688
454.5,59.61,58.1,0.0,16.2,5,427.372,3.049,798.602
454.5,59.73,58.1,0.0,16.2,5,428.533,3.065,796.516
454.5,59.92,58.2,0.0,15.7,5,430.219,3.089,793.347
466.2,60.05,58.3,0.0,16.3,5,431.306,3.108,791.208
466.2,60.25,58.1,0.0,15.6,5,432.886,3.133,787.965
466.2,60.39,58.3,0.0,14.1,5,433.905,3.151,785.778
466.2,60.54,58.6,0.0,12.6,5,435.374,3.188,782.462
478.1,60.65,59.1,0.0,12.3,5,436.320,3.215,780.230
478.1,60.90,53.8,0.0,8.3,5,437.715,3.227,776.867
478.1,61.00,57.3,0.0,5.9,5,438.620,3.228,774.603
