opponent,v3,Paul-Loup Chatin,0,1771613020536
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:43:40,Silverstone Grand Prix Circuit - ELMS,Alpine Endurance Team 2025 #35:LM (Hyper),Live,109.044,0,0,0
Tracklen [m],TotalLaps
5869.1,8
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
42.3,72.92,92.2,0.0,0.3,6,43.343,0.646,850.529
42.3,73.07,92.3,0.0,0.3,6,47.695,0.687,851.021
42.3,73.17,92.3,0.0,0.3,6,50.601,0.714,851.349
42.3,73.31,92.4,0.0,0.2,6,54.967,0.756,851.838
57.0,73.41,92.4,0.0,0.4,6,57.883,0.781,852.163
57.0,73.55,92.5,0.0,0.4,6,62.264,0.820,852.648
57.0,73.64,92.5,0.0,0.2,6,65.190,0.847,852.971
57.0,73.78,92.6,0.0,0.3,6,69.586,0.891,853.452
71.7,73.93,92.6,0.0,0.9,6,73.991,0.934,853.931
71.7,74.02,92.6,0.0,0.4,6,76.932,0.960,854.249
71.7,74.16,92.6,0.0,-0.1,6,81.352,0.998,854.721
71.7,74.26,92.7,0.0,-0.3,6,84.303,1.021,855.035
86.5,74.38,92.7,0.0,-0.2,6,88.737,1.055,855.505
86.5,74.48,92.8,0.0,1.1,6,91.697,1.079,855.819
86.5,74.61,92.8,0.0,-0.1,6,96.145,1.114,856.288
86.5,74.70,92.8,0.0,0.0,6,99.114,1.135,856.600
101.3,74.84,92.9,0.0,-0.1,6,103.576,1.167,857.067
101.3,74.92,92.9,0.0,0.9,6,106.554,1.188,857.378
101.3,75.06,92.9,0.0,0.7,6,111.030,1.219,857.842
101.3,75.14,93.0,0.0,0.2,6,114.017,1.242,858.150
116.3,75.27,93.0,0.0,-0.1,6,118.506,1.276,858.608
116.3,75.36,93.1,0.0,-0.1,6,121.503,1.296,858.912
116.3,75.49,93.1,0.0,0.5,6,126.006,1.321,859.366
116.3,75.58,93.1,0.0,0.4,6,129.012,1.336,859.668
131.4,75.70,93.2,0.0,0.2,6,133.527,1.359,860.120
131.4,75.78,93.2,0.0,0.1,6,136.542,1.379,860.420
131.4,75.91,93.2,0.0,-0.0,6,141.070,1.415,860.870
131.4,76.00,93.3,0.0,0.4,6,144.093,1.436,861.169
146.6,76.13,93.3,0.0,0.4,6,148.634,1.463,861.617
146.6,76.24,93.3,0.0,0.2,6,153.183,1.492,862.063
146.6,76.33,93.3,0.0,0.0,6,156.219,1.509,862.359
161.8,76.44,93.4,0.0,-0.0,6,160.781,1.533,862.803
161.8,76.53,93.4,0.0,0.0,6,163.825,1.552,863.097
161.8,76.64,93.5,0.0,-0.0,6,168.398,1.582,863.539
161.8,76.72,93.5,0.0,-0.1,6,171.451,1.603,863.833
177.1,76.84,93.5,0.0,0.3,6,176.036,1.635,864.273
177.1,76.91,93.6,0.0,0.6,6,179.097,1.655,864.565
177.1,77.02,93.6,0.0,-0.1,6,183.694,1.685,865.002
177.1,77.10,93.6,0.0,-0.9,6,186.763,1.703,865.292
239.2,77.67,0.0,69.3,1.0,6,239.332,2.043,870.581
239.2,76.94,0.0,83.2,1.3,6,242.411,2.063,870.887
239.2,75.64,0.0,88.3,1.7,6,246.970,2.088,871.332
239.2,74.75,0.0,89.3,1.9,6,249.966,2.104,871.619
254.4,73.42,0.0,91.1,2.3,6,254.394,2.127,872.033
254.4,72.51,0.0,90.4,2.7,6,257.303,2.142,872.296
254.4,71.18,0.0,90.6,3.2,6,261.600,2.166,872.671
254.4,70.28,0.0,90.8,4.0,6,264.421,2.182,872.905
268.7,68.95,0.0,90.7,4.7,6,268.588,2.204,873.231
268.7,68.07,0.0,91.1,4.3,6,271.323,2.217,873.429
268.7,66.74,0.0,91.0,4.5,6,275.361,2.235,873.696
268.7,65.42,20.6,91.0,5.2,0,279.321,2.251,873.924
282.1,64.56,0.0,91.4,5.2,5,281.919,2.260,874.052
282.1,63.25,0.0,89.1,6.3,5,285.753,2.275,874.208
282.1,62.39,0.0,84.9,6.7,5,288.266,2.282,874.287
282.1,61.16,0.0,69.8,6.2,5,291.973,2.295,874.363
294.7,60.47,0.0,53.9,6.2,5,294.406,2.305,874.383
294.7,59.70,0.0,27.3,7.3,5,298.011,2.320,874.365
294.7,59.34,0.0,22.6,7.9,5,300.392,2.330,874.320
294.7,58.86,0.0,20.2,9.7,5,303.936,2.346,874.198
306.5,58.56,0.0,13.9,10.9,5,306.282,2.358,874.081
306.5,58.21,0.0,9.1,11.8,5,309.778,2.378,873.853
306.5,58.01,0.0,8.1,12.5,5,312.095,2.392,873.665
306.5,57.72,0.0,3.6,13.8,5,315.551,2.414,873.329
318.0,57.56,0.2,0.3,15.0,5,317.842,2.428,873.069
318.0,57.35,3.2,0.0,16.3,5,321.261,2.449,872.623
318.0,57.22,3.9,0.0,17.4,5,323.527,2.463,872.287
318.0,57.01,5.3,0.0,18.8,5,326.908,2.483,871.723
329.3,56.89,12.0,0.0,19.3,5,329.148,2.495,871.307
329.3,56.73,13.8,0.0,20.1,5,332.487,2.512,870.621
329.3,56.54,13.0,0.0,20.6,5,335.798,2.528,869.859
