opponent,v3,Joonas Tossonen,0,1771610990804
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:09:50,Silverstone Grand Prix Circuit - ELMS,9x8 Wing Custom Team 2025 #397 (Hyper),Live,109.157,0,0,0
Tracklen [m],TotalLaps
5973.6,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
12.3,5.39,89.8,0.0,81.8,1,470.949,0.712,-93.017
12.3,5.68,89.8,0.0,81.6,1,471.215,0.714,-93.216
12.3,5.86,89.8,0.0,81.6,1,471.394,0.712,-93.362
26.7,6.09,89.8,0.0,81.4,1,471.668,0.708,-93.595
26.7,6.31,89.8,0.0,81.2,1,471.853,0.709,-93.757
26.7,6.59,89.8,0.0,81.0,1,472.138,0.709,-94.021
26.7,6.74,89.8,0.0,81.0,1,472.328,0.709,-94.209
41.3,7.03,89.9,0.0,81.0,1,472.614,0.708,-94.506
41.3,7.31,89.9,0.0,81.0,1,472.899,0.709,-94.829
41.3,7.46,89.9,0.0,81.0,1,473.088,0.702,-95.056
55.9,7.77,89.9,0.0,81.0,1,473.374,0.702,-95.415
55.9,7.96,89.9,0.0,81.0,1,473.559,0.702,-95.671
55.9,8.22,89.9,0.0,81.0,1,473.833,0.694,-96.073
55.9,8.39,90.0,0.0,80.8,1,474.010,0.694,-96.352
70.7,8.66,90.1,0.0,80.8,1,474.266,0.693,-96.791
70.7,8.86,90.3,0.0,80.8,1,474.431,0.686,-97.101
70.7,9.13,90.3,0.0,80.6,1,474.665,0.684,-97.589
70.7,9.36,90.7,0.0,80.6,1,474.814,0.685,-97.928
85.5,9.62,90.7,0.0,80.6,1,475.023,0.675,-98.457
85.5,9.83,90.3,0.0,80.4,1,475.150,0.676,-98.824
85.5,10.14,89.2,0.0,80.4,1,475.318,0.667,-99.399
85.5,10.30,82.9,0.0,80.4,1,475.417,0.667,-99.795
100.4,10.54,73.2,0.0,80.4,1,475.545,0.659,-100.407
100.4,10.77,69.4,0.0,80.2,1,475.640,0.651,-101.039
100.4,10.91,69.0,0.0,80.0,1,475.683,0.642,-101.470
100.4,11.13,62.7,0.0,79.6,1,475.715,0.634,-102.128
115.4,11.22,59.5,0.0,79.6,1,475.717,0.625,-102.575
115.4,11.41,50.7,0.0,79.5,1,475.687,0.617,-103.252
115.4,11.52,65.4,0.0,79.5,1,475.643,0.610,-103.709
115.4,11.65,67.8,0.0,79.5,1,475.542,0.602,-104.394
130.5,11.78,67.6,0.0,79.5,1,475.450,0.594,-104.854
130.5,11.93,67.2,0.0,79.5,1,475.274,0.584,-105.542
130.5,12.06,66.8,0.0,79.5,1,475.132,0.572,-105.998
130.5,12.23,40.0,0.0,79.5,1,474.880,0.561,-106.682
145.8,12.32,71.1,0.0,79.5,1,474.687,0.557,-107.134
145.8,12.48,45.5,0.0,79.3,1,474.357,0.548,-107.801
145.8,12.67,48.0,0.0,78.7,1,473.988,0.541,-108.459
145.8,12.80,47.7,0.0,78.1,1,473.714,0.532,-108.892
161.0,12.89,46.0,0.0,75.9,1,473.269,0.516,-109.516
161.0,13.01,48.6,0.0,73.6,1,472.953,0.515,-109.924
161.0,13.07,47.6,0.0,69.1,1,472.445,0.498,-110.516
161.0,13.20,45.6,0.0,63.2,1,472.086,0.495,-110.895
176.4,13.42,49.7,0.0,58.5,1,471.524,0.487,-111.460
176.4,13.48,49.8,0.0,55.4,1,471.129,0.480,-111.824
176.4,13.09,50.7,0.0,50.3,1,470.522,0.463,-112.352
176.4,13.61,48.5,0.0,44.6,1,470.111,0.463,-112.682
191.8,14.01,91.8,0.0,40.5,1,469.451,0.463,-113.192
191.8,14.31,91.9,0.0,37.6,1,468.994,0.436,-113.530
191.8,14.33,58.3,0.0,33.7,1,468.296,0.436,-114.032
191.8,14.50,57.0,0.0,32.1,1,467.819,0.415,-114.356
207.3,15.06,91.9,0.0,27.4,1,467.069,0.409,-114.837
207.3,14.97,55.8,0.0,23.3,1,466.299,0.410,-115.319
207.3,15.33,52.2,0.0,21.1,1,465.786,0.401,-115.635
207.3,15.76,91.9,0.0,17.4,1,464.978,0.398,-116.112
222.9,15.98,62.6,0.0,16.4,1,464.421,0.400,-116.424
222.9,16.38,66.3,0.0,10.8,1,463.579,0.373,-116.897
222.9,16.61,66.2,0.0,8.2,1,463.003,0.375,-117.209
222.9,16.85,68.9,0.0,4.7,1,462.118,0.374,-117.683
238.5,17.02,71.3,0.0,2.0,1,461.522,0.386,-118.010
238.5,17.62,71.3,0.0,-1.8,1,460.609,0.364,-118.513
238.5,17.99,91.8,0.0,-4.1,1,459.987,0.358,-118.858
238.5,18.44,91.8,0.0,-7.0,1,459.037,0.363,-119.398
253.5,18.88,91.8,0.0,-8.2,1,458.391,0.362,-119.774
253.5,19.36,91.8,0.0,-9.4,1,457.404,0.354,-120.358
253.5,19.76,91.8,0.0,-9.6,1,456.737,0.345,-120.766
253.5,20.31,91.7,0.0,-9.2,1,455.717,0.338,-121.404
267.5,20.88,91.8,0.0,-8.6,1,454.675,0.329,-122.069
267.5,21.25,91.7,0.0,-8.2,1,453.972,0.321,-122.526
267.5,21.73,62.6,0.0,-8.0,1,452.901,0.307,-123.237
267.5,22.07,91.7,0.0,-8.0,1,452.176,0.305,-123.731
280.5,22.81,91.7,0.0,-8.2,1,451.067,0.290,-124.502
280.5,23.16,91.7,0.0,-8.4,1,450.318,0.283,-125.033
280.5,23.78,91.7,0.0,-8.6,1,449.176,0.275,-125.860
280.5,24.24,91.7,0.0,-8.8,1,448.404,0.275,-126.434
292.8,24.88,91.7,0.0,-8.6,1,447.233,0.268,-127.328
292.8,25.28,91.7,0.0,-8.2,1,446.444,0.260,-127.945
292.8,25.86,91.7,0.0,-7.6,1,445.247,0.252,-128.903
292.8,26.28,91.8,0.0,-7.2,1,444.440,0.245,-129.562
304.6,26.88,91.8,0.0,-7.0,1,443.215,0.235,-130.585
304.6,27.32,91.8,0.0,-7.0,1,442.391,0.229,-131.290
304.6,27.85,91.8,0.0,-7.0,1,441.143,0.221,-132.381
316.1,28.49,91.8,0.0,-7.0,1,439.880,0.214,-133.510
316.1,28.97,91.8,0.0,-7.0,1,439.030,0.212,-134.286
316.1,29.62,91.8,0.0,-7.2,1,437.748,0.207,-135.488
316.1,29.99,91.8,0.0,-7.2,1,436.886,0.207,-136.316
327.4,30.63,91.8,0.0,-7.6,1,435.589,0.200,-137.594
327.4,31.07,55.2,0.0,-7.8,1,434.723,0.193,-138.470
327.4,31.74,91.9,0.0,-7.8,1,433.416,0.193,-139.826
327.4,32.08,91.9,0.0,-7.8,1,432.539,0.190,-140.757
338.8,32.60,91.9,0.0,-7.2,1,431.230,0.183,-142.193
338.8,32.93,91.9,0.0,-6.8,1,430.360,0.182,-143.175
338.8,33.66,92.0,0.0,-6.1,1,429.052,0.174,-144.693
338.8,34.09,92.0,0.0,-5.7,1,428.181,0.166,-145.730
350.5,34.51,0.0,0.0,-4.9,2,426.884,0.158,-147.314
350.5,34.65,91.8,0.0,-4.7,2,426.019,0.158,-148.386
350.5,35.17,91.8,0.0,-4.5,2,424.727,0.152,-150.033
350.5,35.81,91.9,0.0,-3.9,2,423.429,0.144,-151.716
362.2,36.13,91.9,0.0,-3.5,2,422.554,0.145,-152.859
362.2,36.73,91.9,0.0,-3.1,2,421.236,0.139,-154.605
362.2,37.13,91.9,0.0,-2.9,2,420.352,0.140,-155.787
362.2,37.66,91.9,0.0,-2.7,2,419.019,0.140,-157.591
373.7,38.00,91.9,0.0,-2.9,2,418.126,0.140,-158.811
