opponent,v3,Earl Bamber,0,1771614424774
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 19:07:04,Silverstone Grand Prix Circuit - ELMS,Cadillac Hertz Team Jota 2025 #38:LM (Hyper),Live,109.645,0,0,0
Tracklen [m],TotalLaps
5865.7,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
8.7,69.96,91.4,0.0,-0.0,6,14.017,0.429,847.114
8.7,70.18,91.5,0.0,0.2,6,19.586,0.473,847.750
22.7,70.36,91.6,0.0,0.3,6,23.774,0.503,848.231
22.7,70.53,91.6,0.0,0.5,6,27.973,0.536,848.713
22.7,70.70,91.7,0.0,0.4,6,32.181,0.573,849.195
36.8,70.86,91.7,0.0,0.3,6,36.400,0.609,849.677
36.8,71.04,91.8,0.0,0.3,6,40.630,0.645,850.156
36.8,71.20,91.8,0.0,0.2,6,44.870,0.683,850.634
36.8,71.36,91.9,0.0,0.1,6,49.119,0.723,851.110
51.0,71.58,91.9,0.0,0.0,6,54.801,0.777,851.740
51.0,71.75,92.0,0.0,0.3,6,59.075,0.814,852.211
51.0,71.90,92.0,0.0,0.4,6,63.358,0.853,852.680
65.4,72.06,92.1,0.0,0.3,6,67.651,0.894,853.148
65.4,72.22,92.1,0.0,0.2,6,71.953,0.938,853.614
65.4,72.37,92.2,0.0,0.3,6,76.265,0.977,854.078
79.8,72.53,92.2,0.0,0.1,6,80.587,1.014,854.540
79.8,72.68,92.2,0.0,-0.1,6,84.919,1.048,855.001
79.8,72.84,92.2,0.0,-0.2,6,89.260,1.082,855.460
94.3,73.05,92.3,0.0,-0.1,6,95.062,1.129,856.075
94.3,73.20,92.4,0.0,0.0,6,99.425,1.160,856.537
94.3,73.34,92.4,0.0,-0.0,6,103.796,1.191,857.000
108.9,73.50,92.4,0.0,0.2,6,108.176,1.222,857.464
108.9,73.64,92.5,0.0,0.4,6,112.565,1.253,857.928
108.9,73.78,92.5,0.0,0.5,6,116.963,1.287,858.392
108.9,73.93,92.6,0.0,0.4,6,121.370,1.318,858.853
123.7,74.08,92.6,0.0,-0.1,6,125.787,1.342,859.310
123.7,74.28,92.6,0.0,0.2,6,131.690,1.372,859.913
123.7,74.41,92.7,0.0,0.5,6,136.128,1.399,860.362
138.6,74.55,92.7,0.0,0.3,6,140.574,1.433,860.809
138.6,74.71,92.7,0.0,0.2,6,145.028,1.463,861.254
138.6,74.83,92.8,0.0,0.5,6,149.492,1.491,861.697
153.5,75.03,92.8,0.0,0.2,6,155.457,1.527,862.283
153.5,75.17,92.8,0.0,0.2,6,159.941,1.551,862.721
153.5,75.30,92.9,0.0,0.2,6,164.434,1.578,863.156
168.5,75.44,92.9,0.0,0.1,6,168.934,1.607,863.590
168.5,75.57,93.0,0.0,0.2,6,173.443,1.638,864.024
168.5,75.70,93.0,0.0,0.0,6,177.960,1.669,864.458
183.6,75.88,93.0,0.0,0.1,6,183.995,1.708,865.036
183.6,75.89,21.1,0.0,0.3,6,188.529,1.735,865.471
183.6,75.63,0.0,0.0,-0.1,6,193.054,1.763,865.906
198.7,75.36,0.0,0.0,-1.0,6,197.564,1.791,866.340
198.7,75.11,0.0,0.0,-1.0,6,202.057,1.818,866.776
198.7,74.85,0.0,0.0,-0.6,6,206.534,1.843,867.218
198.7,74.59,0.0,0.0,-0.4,6,210.996,1.866,867.666
213.7,74.33,0.0,0.0,-0.3,6,215.441,1.893,868.120
213.7,74.00,0.0,0.0,-0.0,6,221.343,1.933,868.730
213.7,73.76,0.0,0.0,0.2,6,225.753,1.965,869.189
228.5,73.42,0.0,0.0,0.5,6,231.609,2.006,869.795
228.5,73.16,0.0,0.0,0.7,6,235.984,2.040,870.242
228.5,72.92,0.0,0.0,0.7,6,240.344,2.073,870.682
243.2,72.67,0.0,0.0,0.7,6,244.691,2.099,871.112
243.2,72.41,0.0,0.0,1.4,6,249.024,2.121,871.531
243.2,72.05,0.0,31.1,2.0,6,253.341,2.143,871.938
257.7,71.21,0.0,67.3,2.3,6,257.626,2.165,872.329
257.7,70.03,0.0,80.2,2.1,6,261.850,2.188,872.699
257.7,68.26,0.0,84.9,2.9,6,267.368,2.217,873.150
271.6,66.91,0.0,82.4,2.8,6,271.414,2.237,873.451
271.6,65.59,0.0,83.1,3.5,6,275.383,2.255,873.719
271.6,63.94,33.0,76.3,4.4,0,280.556,2.275,874.014
284.6,63.13,0.0,77.6,4.3,5,283.097,2.285,874.130
284.6,61.93,0.0,67.9,4.4,5,286.848,2.298,874.263
284.6,61.17,0.0,58.9,3.8,5,289.310,2.305,874.324
284.6,60.16,0.0,42.6,2.4,5,292.950,2.319,874.367
296.8,59.65,0.0,28.1,2.5,5,295.347,2.329,874.359
296.8,59.10,0.0,13.4,3.8,5,298.908,2.344,874.295
296.8,58.83,0.0,12.6,5.7,5,301.266,2.354,874.214
296.8,58.44,0.0,10.0,9.3,5,304.780,2.372,874.037
308.5,58.21,0.0,4.7,11.1,5,307.108,2.385,873.882
308.5,57.95,0.0,1.8,12.7,5,310.582,2.406,873.596
308.5,57.72,0.0,1.1,13.6,5,314.034,2.428,873.247
308.5,57.57,2.3,0.0,14.1,5,316.325,2.442,872.978
319.8,57.38,14.4,0.0,14.3,5,319.742,2.464,872.519
319.8,57.27,8.1,0.0,14.5,5,322.010,2.478,872.174
319.8,57.03,0.0,4.0,12.7,5,325.391,2.498,871.599
319.8,56.86,0.0,3.3,13.2,5,327.630,2.511,871.178
331.2,56.57,0.0,5.9,13.4,5,330.963,2.528,870.490
331.2,56.37,0.0,5.2,13.9,5,333.166,2.539,869.993
331.2,56.10,10.5,0.0,14.2,5,336.443,2.555,869.188
331.2,56.02,30.9,0.0,14.6,5,338.610,2.566,868.612
342.5,55.99,47.3,0.0,16.0,5,341.840,2.582,867.686
342.5,56.01,57.3,0.0,17.5,5,343.980,2.593,867.027
342.5,56.04,51.1,0.0,20.4,5,347.174,2.608,865.978
342.5,56.04,45.4,0.0,23.1,5,349.290,2.618,865.237
354.4,55.98,32.6,0.0,24.8,5,352.440,2.634,864.066
354.4,55.91,25.9,0.0,25.0,5,354.522,2.645,863.245
354.4,55.78,25.9,0.0,25.6,5,357.614,2.663,861.954
354.4,55.67,25.2,0.0,25.5,5,360.668,2.681,860.593
366.2,55.62,48.6,0.0,25.2,5,362.683,2.693,859.648
366.2,55.70,78.7,0.0,24.8,5,365.676,2.710,858.169
366.2,55.78,64.7,0.0,24.6,5,367.656,2.722,857.143
366.2,55.77,48.6,0.0,26.1,5,370.596,2.739,855.544
377.8,55.80,71.2,0.0,27.5,5,372.534,2.751,854.439
377.8,55.95,82.4,0.0,29.3,5,375.413,2.768,852.722
377.8,56.04,73.3,0.0,29.6,5,377.313,2.780,851.538
377.8,56.13,69.1,0.0,30.1,5,380.135,2.797,849.703
389.8,56.22,80.8,0.0,31.2,5,381.995,2.808,848.443
389.8,56.38,79.2,0.0,32.5,5,384.756,2.823,846.497
