opponent,v3,Robert Kubica,0,1771612056151
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:27:36,Silverstone Grand Prix Circuit - ELMS,AF Corse 2025 #83:LM (Hyper),Live,109.778,0,0,0
Tracklen [m],TotalLaps
5869.0,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
2.2,71.27,59.4,0.0,-0.1,6,6.316,0.323,845.828
2.2,71.42,59.4,0.0,-0.1,6,10.567,0.352,846.323
2.2,71.52,59.5,0.0,-0.1,6,13.406,0.371,846.655
16.5,71.67,59.5,0.0,-0.0,6,17.673,0.404,847.155
16.5,71.77,59.6,0.0,0.0,6,20.522,0.426,847.490
16.5,71.92,59.6,0.0,0.2,6,24.803,0.458,847.993
16.5,72.02,59.6,0.0,0.2,6,27.662,0.481,848.329
30.8,72.17,59.7,0.0,0.3,6,31.957,0.518,848.833
30.8,72.31,59.7,0.0,0.3,6,36.262,0.555,849.336
30.8,72.42,59.8,0.0,0.2,6,39.137,0.579,849.671
30.8,72.56,59.7,0.0,0.2,6,43.457,0.616,850.170
45.3,72.65,59.8,0.0,0.3,6,46.342,0.642,850.502
45.3,72.80,59.8,0.0,0.3,6,50.677,0.682,850.997
45.3,72.89,59.9,0.0,0.3,6,53.572,0.710,851.326
45.3,73.04,59.9,0.0,0.2,6,57.922,0.749,851.817
59.9,73.13,59.9,0.0,0.2,6,60.827,0.775,852.143
59.9,73.27,59.9,0.0,0.2,6,65.191,0.815,852.630
59.9,73.36,59.9,0.0,0.1,6,68.106,0.844,852.953
59.9,73.50,60.0,0.0,0.1,6,72.484,0.887,853.438
74.5,73.59,60.0,0.0,0.1,6,75.408,0.914,853.760
74.5,73.73,60.0,0.0,0.1,6,79.801,0.951,854.242
74.5,73.82,60.1,0.0,0.1,6,82.734,0.975,854.563
74.5,73.96,60.1,0.0,0.0,6,87.141,1.009,855.044
89.3,74.08,60.1,0.0,-0.0,6,91.555,1.044,855.524
89.3,74.17,60.1,0.0,0.0,6,94.503,1.067,855.845
89.3,74.31,60.2,0.0,0.1,6,98.931,1.100,856.327
89.3,74.39,60.2,0.0,0.0,6,101.887,1.121,856.648
104.1,74.52,60.2,0.0,0.2,6,106.328,1.152,857.131
104.1,74.61,60.2,0.0,0.2,6,109.293,1.173,857.452
104.1,74.74,60.2,0.0,0.3,6,113.747,1.205,857.934
104.1,74.82,60.2,0.0,0.4,6,116.721,1.227,858.254
119.0,74.95,60.2,0.0,0.4,6,121.189,1.259,858.732
119.0,75.05,60.2,0.0,0.2,6,124.172,1.277,859.049
119.0,75.17,60.2,0.0,0.2,6,128.653,1.299,859.521
119.0,75.25,60.2,0.0,0.2,6,131.645,1.314,859.833
