opponent,v3,Loïc Duval,0,1771612733755
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:38:53,Silverstone Grand Prix Circuit - ELMS,Peugeot TotalEnergies 2025 #94:LM (Hyper),Live,109.788,0,0,0
Tracklen [m],TotalLaps
5869.1,5
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
61.3,72.70,59.1,0.0,0.2,5,70.832,0.868,853.264
105.0,73.70,58.2,0.0,0.3,6,111.589,1.187,857.647
105.0,73.83,58.3,0.0,0.3,6,115.989,1.220,858.115
119.7,73.91,58.3,0.0,0.3,6,118.927,1.242,858.426
119.7,74.04,58.3,0.0,0.2,6,123.342,1.271,858.890
119.7,74.18,58.3,0.0,0.2,6,127.764,1.294,859.350
119.7,74.26,58.3,0.0,0.3,6,130.717,1.308,859.656
134.6,74.38,58.4,0.0,0.3,6,135.152,1.332,860.111
134.6,74.46,58.4,0.0,0.3,6,138.113,1.352,860.414
134.6,74.58,58.5,0.0,0.2,6,142.561,1.389,860.865
134.6,74.68,58.4,0.0,0.2,6,145.531,1.408,861.165
149.5,74.80,58.5,0.0,0.2,6,149.992,1.435,861.612
149.5,74.88,58.5,0.0,0.3,6,152.971,1.454,861.908
149.5,75.00,58.5,0.0,0.2,6,157.445,1.479,862.351
149.5,75.08,58.5,0.0,0.2,6,160.432,1.494,862.645
164.4,75.19,58.6,0.0,0.2,6,164.919,1.521,863.084
164.4,75.28,58.6,0.0,0.1,6,167.914,1.541,863.375
164.4,75.40,58.6,0.0,-0.0,6,172.413,1.571,863.810
164.4,75.47,58.6,0.0,-0.0,6,175.416,1.592,864.100
179.5,75.60,58.6,0.0,0.1,6,179.927,1.623,864.533
179.5,75.67,58.7,0.0,-0.1,6,182.938,1.642,864.822
179.5,75.79,58.7,0.0,-0.5,6,187.461,1.670,865.255
179.5,75.90,58.7,0.0,-0.6,6,191.990,1.697,865.691
194.6,75.98,58.8,0.0,-0.5,6,195.013,1.716,865.985
194.6,76.09,58.8,0.0,-0.4,6,199.553,1.744,866.432
194.6,76.17,58.8,0.0,-0.4,6,202.583,1.762,866.735
194.6,76.28,58.8,0.0,-0.4,6,207.133,1.787,867.196
