opponent,v3,Paul di Resta,0,1771612895508
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:41:35,Silverstone Grand Prix Circuit - ELMS,Peugeot TotalEnergies 2025 #93:LM (Hyper),Live,110.266,0,0,0
Tracklen [m],TotalLaps
5869.1,7
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
36.3,71.94,59.4,0.0,0.2,5,48.832,0.664,850.654
50.7,72.04,59.4,0.0,0.1,5,51.694,0.691,850.978
50.7,72.19,59.4,0.0,0.2,5,55.993,0.732,851.462
50.7,72.29,59.4,0.0,0.2,5,58.864,0.757,851.783
50.7,72.43,59.4,0.0,0.2,5,63.179,0.796,852.263
65.1,72.57,59.2,0.0,0.2,5,67.502,0.837,852.742
65.1,72.66,59.1,0.0,0.1,5,70.389,0.866,853.060
65.1,72.80,59.0,0.0,0.1,5,74.726,0.907,853.536
65.1,72.89,59.1,0.0,0.0,5,77.622,0.933,853.853
79.7,73.03,59.0,0.0,0.0,5,81.973,0.968,854.327
79.7,73.11,58.8,0.0,-0.0,5,84.879,0.991,854.643
79.7,73.24,58.8,0.0,-0.0,5,89.243,1.025,855.116
79.7,73.25,0.0,0.0,0.0,0,92.156,1.048,855.432
94.3,73.22,85.0,0.0,0.1,6,96.523,1.081,855.905
94.3,73.31,78.6,0.0,0.0,6,99.436,1.102,856.221
94.3,73.44,69.1,0.0,0.1,6,103.812,1.133,856.694
94.3,73.53,62.7,0.0,0.1,6,106.734,1.154,857.010
108.9,73.65,58.2,0.0,0.3,6,111.124,1.185,857.483
108.9,73.73,58.3,0.0,0.3,6,114.054,1.207,857.798
108.9,73.86,58.3,0.0,0.3,6,118.457,1.240,858.269
123.7,74.00,58.3,0.0,0.2,6,122.867,1.269,858.737
123.7,74.08,58.3,0.0,0.2,6,125.813,1.285,859.047
123.7,74.21,58.3,0.0,0.1,6,130.237,1.307,859.510
123.7,74.29,58.4,0.0,0.2,6,133.191,1.322,859.817
138.6,74.41,58.4,0.0,0.2,6,137.628,1.349,860.275
138.6,74.48,58.5,0.0,0.2,6,140.590,1.373,860.579
138.6,74.62,58.4,0.0,0.1,6,145.039,1.406,861.033
138.6,74.70,58.4,0.0,0.1,6,148.010,1.424,861.334
153.5,74.83,58.5,0.0,0.2,6,152.473,1.451,861.784
153.5,74.90,58.5,0.0,0.2,6,155.453,1.469,862.082
153.5,75.03,58.5,0.0,0.2,6,159.928,1.492,862.528
153.5,75.10,58.5,0.0,0.2,6,162.916,1.509,862.824
168.4,75.22,58.6,0.0,0.1,6,167.403,1.538,863.267
168.4,75.29,58.6,0.0,0.0,6,170.399,1.558,863.561
168.4,75.41,58.6,0.0,0.1,6,174.898,1.589,864.000
168.4,75.53,58.7,0.0,0.1,6,179.405,1.620,864.438
183.5,75.61,58.7,0.0,-0.1,6,182.413,1.639,864.730
183.5,75.73,58.7,0.0,-0.3,6,186.932,1.666,865.169
183.5,75.81,58.7,0.0,-0.5,6,189.948,1.684,865.463
183.5,75.92,58.7,0.0,-0.5,6,194.477,1.713,865.908
198.7,75.99,58.7,0.0,-0.4,6,197.500,1.731,866.208
244.5,73.73,0.0,85.4,0.7,6,247.514,2.052,871.341
244.5,72.87,0.0,85.0,0.9,6,250.435,2.067,871.621
244.5,71.61,0.0,85.2,1.2,6,254.753,2.090,872.024
259.1,70.34,0.0,84.8,1.5,6,258.996,2.113,872.405
259.1,69.51,0.0,85.2,1.7,6,261.785,2.129,872.646
259.1,68.25,0.0,85.3,2.2,6,265.906,2.152,872.985
259.1,67.42,0.0,85.6,2.3,6,268.613,2.167,873.194
272.8,66.17,0.0,85.8,2.3,6,272.613,2.186,873.480
272.8,65.34,0.0,86.0,2.6,6,275.239,2.197,873.650
272.8,64.09,0.0,85.2,3.1,0,279.118,2.213,873.872
272.8,63.28,27.0,85.5,2.9,0,281.664,2.222,873.996
285.7,62.06,0.0,80.0,3.0,5,285.423,2.237,874.142
285.7,61.28,0.0,73.4,3.0,5,287.890,2.245,874.212
285.7,60.21,0.0,59.0,2.5,5,291.536,2.256,874.273
285.7,59.60,0.0,48.1,2.7,5,293.933,2.267,874.280
297.7,58.90,0.0,23.0,4.1,5,297.487,2.283,874.239
297.7,58.45,0.0,17.9,6.0,5,301.007,2.298,874.138
297.7,58.18,0.0,17.6,7.2,5,303.338,2.309,874.034
297.7,57.80,0.0,10.0,8.5,5,306.811,2.327,873.828
309.3,57.59,0.0,7.0,8.6,5,309.113,2.341,873.656
309.3,57.32,0.0,6.0,8.8,5,312.546,2.363,873.342
309.3,57.15,0.0,4.1,9.3,5,314.823,2.378,873.098
309.3,56.92,1.3,0.1,10.0,5,318.219,2.400,872.677
320.6,56.80,1.1,0.9,10.4,5,320.471,2.413,872.359
320.6,56.58,0.0,7.3,10.2,5,323.831,2.434,871.826
320.6,56.39,0.0,7.8,10.4,5,326.057,2.447,871.432
320.6,56.10,0.0,11.3,10.6,5,329.370,2.465,870.788
331.8,55.88,0.0,9.6,10.9,5,331.561,2.476,870.321
331.8,55.54,0.0,4.1,11.3,5,334.817,2.492,869.564
331.8,55.40,15.9,0.0,11.3,5,336.968,2.503,869.021
331.8,55.33,33.4,0.0,12.0,5,340.172,2.519,868.145
343.0,55.32,37.1,0.0,13.8,5,343.352,2.535,867.196
343.0,55.34,34.6,0.0,15.4,5,345.461,2.545,866.523
343.0,55.34,26.9,0.0,18.3,5,348.604,2.560,865.453
343.0,55.31,21.6,0.0,19.5,5,350.686,2.570,864.701
354.8,55.21,11.9,0.0,19.4,5,353.782,2.586,863.514
354.8,55.11,10.4,0.0,19.2,5,355.827,2.597,862.684
354.8,54.95,13.3,0.0,18.6,5,358.861,2.615,861.382
354.8,54.87,16.5,0.0,18.0,5,360.861,2.627,860.475
366.4,54.82,36.7,0.0,17.5,5,363.830,2.645,859.056
366.4,54.86,43.8,0.0,17.7,5,365.789,2.657,858.071
366.4,54.88,26.6,0.0,19.2,5,368.701,2.673,856.534
366.4,54.86,25.5,0.0,21.0,5,370.622,2.685,855.472
377.8,54.86,34.3,0.0,23.2,5,373.471,2.702,853.824
377.8,54.88,36.6,0.0,23.6,5,375.350,2.714,852.690
377.8,54.90,34.8,0.0,23.1,5,378.137,2.731,850.935
389.6,54.91,30.3,0.0,22.3,5,380.884,2.748,849.117
389.6,54.89,29.7,0.0,21.9,5,382.692,2.758,847.871
389.6,54.88,27.9,0.0,21.3,5,385.367,2.772,845.950
389.6,54.87,31.4,0.0,21.1,5,387.125,2.782,844.635
401.1,54.89,36.9,0.0,20.3,5,389.721,2.798,842.611
401.1,54.91,36.4,0.0,19.7,5,391.426,2.809,841.227
401.1,54.94,33.5,0.0,19.2,5,393.944,2.825,839.101
401.1,54.96,32.8,0.0,19.0,5,395.596,2.836,837.651
412.4,55.01,40.9,0.0,18.0,5,398.034,2.851,835.429
412.4,55.07,45.0,0.0,17.3,5,399.631,2.863,833.915
412.4,55.11,23.6,0.0,16.6,5,401.988,2.880,831.596
412.4,55.07,19.0,0.0,15.9,5,403.529,2.891,830.022
423.6,55.09,43.6,0.0,14.4,5,405.796,2.907,827.618
423.6,55.23,51.0,0.0,12.9,5,408.012,2.922,825.161
423.6,55.31,41.5,0.0,12.7,5,409.463,2.931,823.493
423.6,55.39,36.8,0.0,13.2,5,411.600,2.941,820.951
434.7,55.48,50.7,0.0,13.2,5,412.996,2.948,819.229
434.7,55.65,51.5,0.0,12.9,5,415.050,2.959,816.603
434.7,55.78,51.6,0.0,12.8,5,416.392,2.969,814.824
434.7,55.95,51.8,0.0,12.9,5,418.368,2.981,812.117
445.6,56.07,46.3,0.0,14.3,5,419.660,2.986,810.287
445.6,56.19,47.6,0.0,13.9,5,421.554,2.997,807.503
445.6,56.30,52.1,0.0,14.4,5,422.786,3.007,805.620
445.6,56.46,52.0,0.0,13.4,5,424.587,3.022,802.758
456.5,56.57,45.6,0.0,12.8,5,425.757,3.034,800.824
456.5,56.71,52.4,0.0,12.2,5,427.461,3.056,797.884
456.5,56.84,52.8,0.0,12.2,5,428.565,3.071,795.900
456.5,57.02,52.8,0.0,11.6,5,430.174,3.095,792.887
467.7,57.14,53.0,0.0,12.0,5,431.214,3.112,790.855
467.7,57.34,52.7,0.0,11.7,5,432.730,3.137,787.773
467.7,57.53,53.3,0.0,10.7,5,434.192,3.158,784.653
467.7,57.63,53.4,0.0,9.9,5,435.132,3.177,782.551
502.1,59.42,54.8,0.0,2.6,5,445.970,3.402,751.651
502.1,59.57,54.7,0.0,1.8,5,446.607,3.420,749.359
513.8,59.77,54.5,0.0,2.2,5,447.540,3.447,745.903
513.8,59.98,54.5,0.0,3.3,5,448.451,3.476,742.428
513.8,60.13,55.0,0.0,4.0,5,449.047,3.495,740.101
513.8,60.34,55.3,0.0,4.6,5,449.920,3.521,736.595
525.7,60.44,55.8,0.0,4.7,5,450.486,3.542,734.247
525.7,60.65,55.8,0.0,4.6,5,451.306,3.577,730.708
525.7,60.80,55.9,0.0,3.8,5,451.835,3.594,728.338
525.7,61.00,55.9,0.0,2.6,5,452.598,3.614,724.765
537.8,61.13,56.1,0.0,2.5,5,453.081,3.630,722.371
537.8,61.33,56.1,0.0,3.3,5,453.771,3.660,718.763
537.8,61.48,56.1,0.0,3.7,5,454.213,3.680,716.347
537.8,61.70,56.2,0.0,3.4,5,454.851,3.705,712.708
