opponent,v3,FJ Neuesan,0,1771610945849
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:09:05,Silverstone Grand Prix Circuit - ELMS,AM Valkyrie Custom Team 2025 #397 (Hyper),Live,134.398,0,0,0
Tracklen [m],TotalLaps
5973.6,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
15.3,72.49,91.6,0.0,0.4,6,20.780,0.423,848.454
15.3,72.64,91.6,0.0,0.0,6,25.122,0.463,848.826
29.9,72.77,91.6,0.0,-0.6,6,29.470,0.500,849.201
29.9,73.06,91.6,0.0,-0.8,6,32.375,0.524,849.454
29.9,73.29,91.6,0.0,-1.0,6,36.744,0.563,849.840
29.9,73.20,91.6,0.0,-1.4,6,39.659,0.592,850.103
44.5,73.32,91.6,0.0,-2.2,6,44.039,0.635,850.506
44.5,73.33,91.6,0.0,-2.2,6,46.962,0.658,850.784
44.5,73.67,91.6,0.0,-1.6,6,51.349,0.699,851.212
44.5,73.81,91.6,0.0,-1.2,6,54.284,0.729,851.504
59.2,73.95,91.6,0.0,-1.0,6,58.688,0.765,851.953
59.2,73.77,91.6,0.0,-1.0,6,61.629,0.797,852.255
59.2,73.94,91.6,0.0,-0.6,6,66.043,0.838,852.716
59.2,74.35,91.6,0.0,0.0,6,68.989,0.863,853.025
74.0,74.44,91.6,0.0,0.2,6,73.424,0.908,853.492
74.0,74.28,91.6,0.0,0.2,6,76.385,0.936,853.803
74.0,74.40,91.6,0.0,0.4,6,80.830,0.975,854.270
74.0,74.78,91.6,0.0,0.6,6,83.795,0.997,854.577
88.9,74.90,91.6,0.0,0.6,6,88.249,1.036,855.037
88.9,74.90,91.6,0.0,0.6,6,88.249,1.036,855.037
88.9,74.90,91.6,0.0,0.6,6,88.249,1.036,855.037
88.9,74.90,91.6,0.0,0.6,6,88.249,1.036,855.037
88.9,74.90,91.6,0.0,0.6,6,88.249,1.036,855.037
88.9,74.90,91.6,0.0,0.6,6,88.249,1.036,855.037
88.9,74.90,91.6,0.0,0.6,6,88.249,1.036,855.037
88.9,74.90,91.6,0.0,0.6,6,88.249,1.036,855.037
88.9,74.90,91.6,0.0,0.6,6,88.249,1.036,855.037
88.9,74.90,91.6,0.0,0.6,6,88.249,1.036,855.037
88.9,74.90,91.6,0.0,0.6,6,88.249,1.036,855.037
119.0,75.93,91.7,0.0,-0.6,6,127.236,1.308,859.036
134.1,76.03,91.7,0.0,-0.4,6,133.280,1.340,859.657
134.1,76.07,91.7,0.0,0.2,6,137.825,1.371,860.129
134.1,76.32,91.7,0.0,0.2,6,140.856,1.397,860.446
134.1,76.63,91.7,0.0,0.2,6,145.410,1.421,860.920
149.4,76.41,91.7,0.0,0.2,6,148.458,1.443,861.236
149.4,76.47,91.7,0.0,0.0,6,153.029,1.476,861.710
149.4,76.92,91.7,0.0,0.0,6,156.079,1.490,862.029
149.4,76.95,91.7,0.0,0.0,6,160.658,1.513,862.507
164.7,76.67,91.7,0.0,0.0,6,163.716,1.531,862.826
164.7,77.04,91.7,0.0,0.6,6,168.312,1.562,863.305
164.7,77.22,91.7,0.0,0.8,6,171.378,1.579,863.621
164.7,77.18,91.7,0.0,0.4,6,175.983,1.611,864.095
180.1,77.24,91.7,0.0,0.2,6,180.597,1.641,864.563
180.1,77.58,91.7,0.0,0.2,6,183.682,1.664,864.875
180.1,77.68,91.7,0.0,0.0,6,188.310,1.692,865.341
180.1,77.55,91.7,0.0,0.0,6,191.399,1.711,865.653
195.6,77.77,91.7,0.0,0.0,6,196.035,1.733,866.124
195.6,77.87,91.7,0.0,0.2,6,199.127,1.757,866.437
195.6,77.90,91.7,0.0,0.2,6,203.776,1.789,866.912
195.6,78.05,91.7,0.0,0.0,6,206.882,1.799,867.228
211.2,78.15,91.7,0.0,0.0,6,211.543,1.825,867.702
211.2,22.94,3.2,0.0,-52.3,1,325.191,4.032,46.484
211.2,22.83,6.3,0.0,-52.8,1,326.237,4.023,45.598
211.2,22.80,7.9,0.0,-53.2,1,326.955,4.015,45.035
226.9,22.72,11.2,0.0,-53.8,1,328.060,4.007,44.231
226.9,22.74,11.2,0.0,-54.2,1,328.815,3.991,43.723
226.9,22.67,11.2,0.0,-55.0,1,329.976,3.983,43.007
226.9,22.67,11.2,0.0,-55.0,1,329.976,3.983,43.007
226.9,22.67,11.2,0.0,-55.0,1,329.976,3.983,43.007
226.9,22.67,11.2,0.0,-55.0,1,329.976,3.983,43.007
240.0,22.68,21.0,0.0,-54.4,1,333.863,3.934,41.107
240.0,22.71,21.0,0.0,-54.2,1,334.321,3.926,40.922
240.0,22.71,21.0,0.0,-54.2,1,334.321,3.926,40.922
240.0,22.71,21.0,0.0,-54.2,1,334.321,3.926,40.922
240.0,22.71,21.0,0.0,-54.2,1,334.321,3.926,40.922
240.0,22.71,21.0,0.0,-54.2,1,334.321,3.926,40.922
240.0,22.71,21.0,0.0,-54.2,1,334.321,3.926,40.922
240.0,22.71,21.0,0.0,-54.2,1,334.321,3.926,40.922
240.0,22.71,21.0,0.0,-54.2,1,334.321,3.926,40.922
240.0,22.71,21.0,0.0,-54.2,1,334.321,3.926,40.922
240.0,22.71,21.0,0.0,-54.2,1,334.321,3.926,40.922
240.0,22.71,21.0,0.0,-54.2,1,334.321,3.926,40.922
285.6,23.72,27.2,0.0,-52.8,1,345.706,3.816,39.208
285.6,23.79,27.2,0.0,-52.6,1,348.034,3.799,39.115
298.6,23.83,27.1,0.0,-52.6,1,349.333,3.790,39.142
298.6,23.95,27.1,0.0,-52.4,1,351.067,3.783,39.278
298.6,23.98,28.8,0.0,-52.3,1,352.136,3.776,39.421
298.6,24.11,31.8,0.0,-51.5,1,353.661,3.777,39.696
310.9,24.25,31.7,0.0,-50.9,1,355.126,3.770,40.043
310.9,24.35,33.1,0.0,-50.3,1,356.082,3.771,40.311
310.9,24.50,32.9,0.0,-48.7,1,357.496,3.764,40.767
310.9,24.61,34.4,0.0,-47.7,1,358.427,3.765,41.104
322.8,24.76,34.3,0.0,-46.6,1,359.806,3.767,41.662
322.8,24.87,34.2,0.0,-45.6,1,360.712,3.768,42.065
322.8,25.06,37.0,0.0,-44.0,1,362.058,3.777,42.717
322.8,25.18,36.8,0.0,-42.9,1,362.949,3.778,43.183
334.5,25.39,38.2,0.0,-40.7,1,364.270,3.787,43.929
334.5,25.49,38.1,0.0,-39.3,1,365.140,3.797,44.457
334.5,25.69,37.9,0.0,-37.2,1,366.428,3.805,45.291
334.5,25.86,39.2,0.0,-36.0,1,367.277,3.813,45.874
346.2,26.06,41.8,0.0,-34.4,1,368.532,3.821,46.789
346.2,26.21,43.1,0.0,-34.2,1,369.359,3.828,47.427
346.2,26.44,42.9,0.0,-34.6,1,370.584,3.842,48.424
346.2,26.61,42.8,0.0,-34.8,1,371.387,3.842,49.114
357.7,26.84,42.7,0.0,-34.2,1,372.572,3.859,50.191
357.7,27.11,44.0,0.0,-33.3,1,373.734,3.865,51.320
357.7,27.28,45.3,0.0,-32.5,1,374.493,3.873,52.099
368.7,27.53,46.6,0.0,-31.3,1,375.610,3.880,53.305
368.7,27.86,46.5,0.0,-30.1,1,376.700,3.888,54.557
368.7,28.10,46.5,0.0,-29.2,1,377.762,3.895,55.854
368.7,28.28,46.5,0.0,-28.6,1,378.455,3.895,56.744
379.5,28.58,46.5,0.0,-27.6,1,379.470,3.902,58.116
379.5,28.80,47.8,0.0,-26.6,1,380.130,3.901,59.054
379.5,29.13,50.6,0.0,-24.5,1,381.100,3.909,60.493
379.5,29.36,52.0,0.0,-23.5,1,381.729,3.908,61.477
389.9,29.68,53.5,0.0,-22.3,1,382.651,3.915,62.988
389.9,30.08,56.4,0.0,-21.9,1,383.548,3.914,64.540
389.9,30.30,56.5,0.0,-21.3,1,384.130,3.914,65.599
389.9,30.73,56.7,0.0,-19.8,1,384.977,3.914,67.220
400.1,30.94,56.8,0.0,-18.6,1,385.526,3.914,68.323
400.1,31.37,58.5,0.0,-16.8,1,386.332,3.915,70.011
400.1,31.76,58.7,0.0,-15.5,1,387.112,3.915,71.735
400.1,31.99,60.3,0.0,-14.9,1,387.620,3.915,72.902
410.1,32.45,64.9,0.0,-14.3,1,388.368,3.914,74.682
410.1,32.74,68.2,0.0,-14.1,1,388.857,3.914,75.889
410.1,32.58,0.0,0.0,-13.7,2,389.569,3.912,77.719
410.1,33.28,71.3,0.0,-13.1,2,390.035,3.912,78.953
420.0,33.73,74.3,0.0,-11.7,2,390.712,3.902,80.846
420.0,34.02,76.9,0.0,-10.6,2,391.144,3.901,82.129
420.0,34.54,79.5,0.0,-8.6,2,391.772,3.892,84.086
