opponent,v3,Miguel P Jourdain,0,1771610871032
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:07:51,Silverstone Grand Prix Circuit - ELMS,Ferrari AF Corse 2025 #50:LM (Hyper),Live,83.380,0,0,0
Tracklen [m],TotalLaps
5973.6,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
7.6,72.32,56.9,0.0,2.3,5,14.434,0.362,847.947
7.6,72.38,56.9,0.0,1.8,5,17.308,0.391,848.299
22.0,72.15,0.0,0.0,2.0,0,21.613,0.420,848.825
22.0,72.46,91.0,0.0,2.0,6,24.486,0.444,849.167
22.0,72.58,89.1,0.0,1.0,6,28.808,0.474,849.663
22.0,72.68,87.9,0.0,0.6,6,31.697,0.499,849.985
36.5,72.84,86.0,0.0,0.8,6,36.035,0.535,850.477
36.5,72.94,84.7,0.0,1.2,6,38.932,0.561,850.800
36.5,73.08,82.8,0.0,0.8,6,43.284,0.604,851.278
36.5,73.14,81.6,0.0,0.6,6,46.190,0.628,851.592
51.1,73.33,79.7,0.0,0.4,6,50.560,0.674,852.060
51.1,73.42,78.4,0.0,0.4,6,53.480,0.707,852.371
51.1,73.60,76.6,0.0,0.2,6,57.866,0.740,852.836
51.1,73.69,75.3,0.0,0.0,6,60.793,0.764,853.146
65.8,73.80,73.4,0.0,-0.4,6,65.190,0.807,853.614
65.8,73.89,72.2,0.0,-0.4,6,68.129,0.832,853.931
65.8,74.02,70.3,0.0,-0.2,6,72.542,0.880,854.407
65.8,74.21,68.4,0.0,0.2,6,76.962,0.922,854.881
80.6,74.30,67.1,0.0,0.2,6,79.917,0.951,855.197
80.6,74.40,65.3,0.0,0.0,6,84.352,0.980,855.675
80.6,74.52,64.0,0.0,-0.2,6,87.314,1.003,855.993
80.6,74.59,62.1,0.0,0.0,6,91.760,1.038,856.473
95.5,74.74,60.8,0.0,0.4,6,94.728,1.067,856.791
95.5,74.89,60.2,0.0,0.8,6,99.189,1.104,857.268
95.5,74.95,60.2,0.0,0.6,6,102.168,1.119,857.583
95.5,75.10,60.2,0.0,0.2,6,106.645,1.149,858.054
110.5,75.16,60.2,0.0,0.0,6,109.634,1.166,858.369
110.5,75.29,60.2,0.0,0.2,6,114.120,1.199,858.844
110.5,75.39,60.3,0.0,0.4,6,117.115,1.224,859.161
110.5,75.53,60.3,0.0,0.4,6,121.615,1.253,859.629
125.5,75.62,60.2,0.0,0.8,6,124.623,1.277,859.939
125.5,75.70,60.3,0.0,0.6,6,129.139,1.297,860.401
125.5,75.77,60.3,0.0,0.2,6,133.660,1.317,860.862
125.5,75.87,60.3,0.0,0.0,6,136.675,1.336,861.173
140.8,76.03,60.4,0.0,0.4,6,141.208,1.373,861.643
140.8,76.19,60.4,0.0,0.8,6,144.238,1.393,861.959
140.8,76.13,60.3,0.0,1.2,6,148.792,1.428,862.418
140.8,76.12,60.3,0.0,1.2,6,151.821,1.447,862.717
155.9,76.59,60.3,0.0,0.8,6,156.378,1.472,863.166
