x,z
-4.674820000000000277e+02,-4.211429999999999723e+02
-4.678380000000000223e+02,-4.312010000000000218e+02
-4.675720000000000027e+02,-4.392710000000000150e+02
-4.673070000000000164e+02,-4.445860000000000127e+02
-4.660710000000000264e+02,-4.538360000000000127e+02
-4.654669999999999845e+02,-4.570550000000000068e+02
-4.647400000000000091e+02,-4.604870000000000232e+02
-4.639429999999999836e+02,-4.639180000000000064e+02
-4.622080000000000268e+02,-4.702950000000000159e+02
-4.589809999999999945e+02,-4.796700000000000159e+02
-4.586070000000000277e+02,-4.806419999999999959e+02
-4.566709999999999923e+02,-4.853740000000000236e+02
-4.509069999999999823e+02,-4.967950000000000159e+02
-4.499710000000000036e+02,-4.983469999999999800e+02
-4.428279999999999745e+02,-5.090989999999999895e+02
-4.381100000000000136e+02,-5.152419999999999618e+02
-4.344990000000000236e+02,-5.193020000000000209e+02
-4.277139999999999986e+02,-5.265389999999999873e+02
-7.238700000000000045e+01,-8.277060000000000173e+02
-5.573899999999999721e+01,-8.365170000000000528e+02
-3.955899999999999750e+01,-8.408719999999999573e+02
-1.492900000000000027e+01,-8.407690000000000055e+02
-1.013799999999999990e+01,-8.405549999999999500e+02
-9.486000000000000654e+00,-8.405019999999999527e+02
2.825000000000000178e+00,-8.390779999999999745e+02
1.146199999999999974e+01,-8.369199999999999591e+02
2.224500000000000099e+01,-8.339139999999999873e+02
3.938100000000000023e+01,-8.251459999999999582e+02
4.615800000000000125e+01,-8.205700000000000500e+02
5.626500000000000057e+01,-8.125539999999999736e+02
5.992999999999999972e+01,-8.091309999999999718e+02
7.070000000000000284e+01,-7.977350000000000136e+02
7.105299999999999727e+01,-7.973550000000000182e+02
8.392000000000000171e+01,-7.811280000000000427e+02
8.920999999999999375e+01,-7.738440000000000509e+02
9.942600000000000193e+01,-7.589420000000000073e+02
1.017090000000000032e+02,-7.555180000000000291e+02
5.414650000000000318e+02,-8.503900000000000148e+01
5.489959999999999809e+02,-6.730800000000000693e+01
5.528659999999999854e+02,-4.816199999999999903e+01
5.539009999999999536e+02,-2.779100000000000037e+01
5.276710000000000491e+02,2.545349999999999966e+02
5.257089999999999463e+02,2.737289999999999850e+02
4.675729999999999791e+02,6.593410000000000082e+02
4.612429999999999950e+02,6.923329999999999700e+02
4.542799999999999727e+02,7.217000000000000455e+02
4.454010000000000105e+02,7.539130000000000109e+02
4.429089999999999918e+02,7.620000000000000000e+02
4.410000000000000000e+02,7.676040000000000418e+02
4.379420000000000073e+02,7.759039999999999964e+02
4.372160000000000082e+02,7.776749999999999545e+02
4.309359999999999786e+02,7.927690000000000055e+02
4.252309999999999945e+02,8.025449999999999591e+02
4.192239999999999895e+02,8.126280000000000427e+02
4.025869999999999891e+02,8.325130000000000337e+02
3.853860000000000241e+02,8.471019999999999754e+02
3.662250000000000227e+02,8.587309999999999945e+02
3.587149999999999750e+02,8.620910000000000082e+02
3.480810000000000173e+02,8.662500000000000000e+02
3.393720000000000141e+02,8.687659999999999627e+02
3.227620000000000005e+02,8.730299999999999727e+02
2.937160000000000082e+02,8.752050000000000409e+02
2.645849999999999795e+02,8.732459999999999809e+02
1.627669999999999959e+02,8.641219999999999573e+02
4.993900000000000006e+01,8.526580000000000155e+02
-2.508399999999999963e+01,8.449420000000000073e+02
-6.249000000000000199e+01,8.359869999999999663e+02
-7.129099999999999682e+01,8.336770000000000209e+02
-9.537699999999999534e+01,8.260969999999999800e+02
-1.000900000000000034e+02,8.241939999999999600e+02
-1.272500000000000000e+02,8.117820000000000391e+02
-1.521440000000000055e+02,7.968970000000000482e+02
-1.553290000000000077e+02,7.948550000000000182e+02
-1.751320000000000050e+02,7.800670000000000073e+02
-1.817179999999999893e+02,7.747440000000000282e+02
-1.961670000000000016e+02,7.618089999999999691e+02
-2.075140000000000100e+02,7.512500000000000000e+02
-2.264770000000000039e+02,7.315069999999999482e+02
-2.448799999999999955e+02,7.094610000000000127e+02
-2.602699999999999818e+02,6.867039999999999509e+02
-2.717350000000000136e+02,6.655140000000000100e+02
-2.810310000000000059e+02,6.467150000000000318e+02
-2.820480000000000018e+02,6.446009999999999991e+02
-2.834599999999999795e+02,6.416100000000000136e+02
-2.870559999999999832e+02,6.338300000000000409e+02
-2.887219999999999800e+02,6.299080000000000155e+02
-2.909100000000000250e+02,6.246699999999999591e+02
-2.933000000000000114e+02,6.187419999999999618e+02
-2.960099999999999909e+02,6.107409999999999854e+02
-2.982080000000000268e+02,6.028709999999999809e+02
-3.021080000000000041e+02,5.825700000000000500e+02
-4.674820000000000277e+02,-4.211429999999999723e+02
